delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5348	10	28	784
5584	10	28	796
5576	19	32	776
5576	19	28	787
5584	23	33	796
5400	13	25	799
5404	-1	27	799
5548	10	34	797
5576	12	28	787
5584	12	25	783
5576	9	25	807
5532	12	22	808
5576	26	26	787
5580	13	26	792
5580	17	28	811
5576	3	31	794
5532	0	25	801
5524	8	35	786
5532	10	31	784
5576	8	27	803
5524	12	24	795
5580	13	31	781
5580	13	25	787
5580	3	21	784
5524	5	27	801
5352	12	38	789
5584	20	24	795
5576	13	30	787
5584	17	29	798
5400	21	29	791
5404	12	31	787
5584	5	21	803
5524	13	22	794
5580	14	25	799
5580	7	35	790
5524	0	36	798
5532	22	18	773
5576	21	22	793
5584	14	32	801
5576	9	30	796
5532	10	33	789
5576	10	32	791
5584	14	30	780
5576	7	24	807
5524	15	27	811
5580	28	18	792
5576	23	22	795
5584	10	25	775
5576	11	27	806
5584	9	31	789
5524	8	24	789
5524	9	38	804
5532	11	26	798
5400	14	20	806
5404	16	22	797
5408	20	25	779
5576	6	32	789
5524	16	20	787
5584	15	14	810
5576	12	23	782
5580	8	30	803
5528	6	27	790
5528	12	26	804
5576	18	32	795
5584	3	33	787
5524	14	27	809
5576	11	25	783
5584	5	36	800
5524	23	25	792
5580	10	36	796
5576	16	19	799
5584	13	29	792
5576	17	27	790
5576	3	34	785
5532	17	30	781
5576	16	34	791
5584	1	28	790
5524	185	-48	659
5652	197	-1483	1224
5468	-123	-798	425
5544	462	484	1169
5580	153	406	669
5688	-18	-13	1075
5496	-39	-29	454
5608	-406	-270	785
5552	314	327	695
5516	77	24	984
5584	227	108	856
5512	108	63	787
5288	-9	-210	947
5608	27	34	591
5576	-89	162	889
5480	-10	195	656
5316	-17	30	849
5592	13	-197	805
5472	90	-18	791
5244	71	73	868
5408	75	159	789
5464	17	37	796
5584	-53	-70	792
5608	-39	4	732
5540	-19	68	812
5600	24	95	796
5576	45	20	789
5584	49	-59	820
5588	49	-21	796
5424	22	63	815
5400	-10	99	794
5424	-31	39	755
5248	-38	-38	769
5260	15	3	797
5352	37	77	787
5580	58	73	850
5576	54	6	813
5524	22	-50	790
5592	-6	19	779
5548	478	-1409	1097
5640	-599	-779	469
5552	262	340	1008
