delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5532	4	18	786
5524	7	17	788
5704	4	15	806
5524	7	27	798
5532	8	22	785
5524	3	17	781
5524	6	21	782
5360	13	27	772
5576	9	22	791
5524	11	20	808
5580	16	10	805
5576	8	8	822
5476	16	9	794
5344	14	12	781
5576	1	17	782
5532	13	13	786
5576	10	20	812
5584	2	20	797
5524	15	16	797
5576	16	20	795
5584	9	21	802
5524	1	15	797
5532	4	9	799
5292	8	18	784
5528	6	30	797
5356	4	17	789
5524	8	14	812
5524	9	15	794
5360	13	15	801
5572	15	20	791
5580	8	24	788
5532	8	31	784
5524	2	25	789
5532	5	36	789
5348	3	39	785
5524	4	26	797
5532	5	11	805
5352	11	12	795
5576	3	20	785
5532	1	23	790
5524	7	33	772
5532	8	29	777
5352	5	34	776
5524	10	35	787
5584	14	21	791
5576	12	28	804
5576	5	32	797
5532	10	40	776
5576	7	43	780
5528	-5	26	775
5540	-2	32	800
5364	4	44	789
5532	10	32	802
5576	9	20	808
5528	4	19	798
5528	14	16	785
5400	8	22	785
5532	4	37	780
5524	0	30	797
5524	11	28	771
5584	5	13	803
5524	-2	19	800
5372	8	19	770
5524	2	21	796
5524	2	22	789
5704	3	25	786
5528	4	21	787
5528	10	29	779
5576	9	17	799
5532	13	12	815
5576	18	8	805
5520	12	4	814
5352	10	17	782
5572	8	11	786
5528	16	14	800
5580	15	4	789
5520	12	13	782
5584	11	17	797
5576	20	13	804
5580	13	-1	783
5536	9	-1	794
5660	7	17	780
5524	1	8	794
5468	5	12	781
5356	2	-1	780
5480	8	-3	784
5308	18	0	806
5520	11	14	802
5408	2	8	795
5468	5	13	776
5532	2	16	780
5696	10	22	777
5404	11	19	776
5408	2	21	766
5524	18	15	790
5576	1	11	801
5532	0	19	798
5524	5	9	803
5648	-5	23	798
5540	-1	20	778
5544	-7	27	782
5540	12	19	781
5576	2	20	786
5532	4	26	792
5352	11	29	799
5580	10	26	793
5580	11	32	776
5576	4	29	776
5528	10	34	790
5580	6	29	784
5528	15	32	773
5576	4	30	797
5532	10	13	807
5576	10	18	792
5576	2	23	797
5532	7	27	789
5700	11	38	768
5408	13	35	801
5400	6	25	774
5524	7	36	789
5532	12	36	815
5576	15	43	794
5580	10	32	804
5576	7	23	793
5524	5	29	786
5532	2	28	792
5352	5	21	787
5532	14	16	778
5576	6	13	800
5524	9	9	791
5652	13	15	800
5576	11	16	790
5580	16	29	776
5576	3	26	779
5532	10	30	780
5576	6	31	793
5528	13	20	803
5580	6	19	800
5524	1	15	822
5532	4	9	797
5644	5	7	790
5472	1	10	799
5352	18	8	786
5520	12	6	787
5528	11	-6	782
5536	8	6	801
5292	13	13	787
5584	3	31	783
5524	6	28	790
5352	9	13	789
5528	10	18	775
5576	9	19	795
5528	11	16	801
5580	16	11	823
5576	15	2	819
5528	25	1	792
5344	14	2	782
5524	10	24	793
5580	8	31	779
5528	6	26	782
5704	8	24	780
5524	8	16	778
5532	3	34	808
5524	15	38	797
5576	13	25	796
5584	10	15	785
5576	7	11	784
5528	7	30	785
5528	0	26	781
5348	7	31	798
5532	4	22	780
5524	17	20	803
5404	9	22	802
5528	6	32	788
5528	3	47	781
5528	9	52	780
5528	-2	48	769
5364	0	38	783
5532	9	35	791
5524	-4	32	809
5540	1	21	798
5356	2	29	791
5524	9	27	797
5528	7	23	782
5356	-3	27	791
5540	8	30	784
5528	11	35	814
5576	0	36	806
5524	2	35	785
5360	8	32	783
5524	5	33	786
5524	2	34	793
5532	-11	31	781
5420	7	14	769
5528	-5	13	807
5548	8	6	772
5468	14	11	805
5408	18	1	792
5520	21	6	794
5520	27	22	790
5584	14	36	770
5576	9	35	778
5532	-1	33	788
5536	11	19	783
5404	9	2	788
5476	8	0	805
5636	6	9	789
5468	10	7	789
5528	13	-1	778
5360	3	9	786
5468	14	6	778
5356	10	6	788
5520	17	7	822
5520	18	14	821
5408	13	9	805
5520	12	11	789
5584	1	27	778
5524	4	22	788
5524	5	18	777
5532	8	15	798
5352	-5	17	800
5536	0	8	819
5652	14	5	789
5520	-2	10	789
5548	7	20	777
5524	5	27	783
5532	9	25	776
5348	9	21	800
5524	15	23	799
5584	14	25	831
5576	9	30	798
5524	11	21	788
5584	3	26	796
5524	2	35	784
