delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5524	43	113	843
5644	87	78	817
5576	24	-17	827
5416	-24	-44	745
5260	-19	-1	661
5384	5	189	910
5584	49	78	777
5404	12	-62	801
5424	27	-62	795
5416	20	35	820
5404	-2	131	802
5432	-4	65	717
5364	-5	-25	817
5548	43	-56	803
5596	40	9	806
5520	10	105	820
5460	10	81	773
5412	-4	-2	794
5492	19	-44	784
5596	38	17	813
5576	27	98	814
5576	1	70	768
5532	-21	-1	789
5552	-2	4	774
5660	31	34	819
5404	31	71	820
5400	12	44	794
5584	-5	8	780
5480	11	-4	772
5540	11	51	814
5576	19	75	810
5576	14	28	784
5584	9	-17	782
5536	10	-8	786
5540	22	44	796
5228	28	76	797
5400	32	26	794
5584	25	-11	809
5416	3	-15	791
5360	12	34	785
5584	6	58	770
5524	16	42	784
5576	24	-4	791
5540	20	0	797
5520	9	33	808
5352	4	57	771
5532	6	32	799
5524	12	5	811
5528	15	11	808
5400	15	44	795
5576	8	57	787
5532	4	24	775
5524	15	20	801
5580	31	17	795
5580	13	35	805
5576	8	48	780
5532	-6	30	782
5536	12	23	796
5584	9	22	789
5524	16	42	789
5404	23	30	779
5408	12	26	815
5400	20	21	799
5576	8	26	795
5532	4	34	790
5524	21	22	776
5584	14	25	793
5576	27	8	809
5520	16	24	821
5580	11	35	798
5580	-1	36	785
5544	0	22	794
5524	10	23	796
5228	16	19	797
5412	29	26	799
5576	13	27	801
5400	12	30	783
5408	15	31	784
5576	2	36	798
5528	32	23	798
5580	22	16	814
5576	9	29	782
5532	4	45	788
5524	4	48	806
5524	10	24	799
5580	21	25	782
5580	26	18	796
5580	7	33	796
5524	7	30	805
5352	1	26	792
5532	6	22	790
5524	17	22	788
5584	10	25	776
5572	9	24	797
5532	15	16	816
5576	20	18	784
5576	21	28	795
5584	12	25	804
5576	13	19	799
5584	10	20	782
5576	5	18	781
5532	13	33	791
5572	14	29	791
5584	23	16	801
5576	20	20	785
5576	12	29	781
5584	5	32	782
5524	15	26	795
5580	22	23	794
5580	20	25	791
5580	12	38	770
5580	9	41	804
5524	13	33	800
5580	13	20	800
5576	22	12	784
5580	6	41	797
5524	1	51	781
5532	7	28	795
5528	13	17	798
5400	18	24	806
5408	21	26	798
5404	11	29	802
5576	0	30	780
5532	8	18	787
5524	10	26	786
5580	17	28	784
5580	10	26	798
5576	13	28	797
5584	16	25	784
5576	6	36	781
5532	13	34	801
5572	7	29	793
5532	7	20	789
5524	5	30	784
5528	1	45	795
5356	4	36	794
5524	17	28	799
5580	14	29	793
5580	7	17	800
5524	4	47	780
5532	6	46	786
5352	17	28	795
5576	26	22	792
5584	12	17	803
5572	16	30	803
5584	9	34	767
5524	19	33	799
5584	29	22	806
5576	14	15	773
5576	3	18	778
5532	9	30	787
5524	17	31	798
5580	29	24	809
5576	32	11	792
5584	18	11	789
5576	15	24	803
5576	4	39	794
5532	9	32	797
5524	15	25	801
5584	14	20	799
5572	7	26	804
5532	4	40	793
5524	10	27	778
5404	17	22	796
5580	10	17	799
5404	15	28	808
5400	10	35	780
5580	-1	36	780
5540	9	26	786
5524	15	25	809
5584	16	30	802
5576	12	34	783
5584	8	27	776
5524	4	22	795
5532	10	20	811
5572	10	26	785
5584	5	31	790
5524	8	16	785
5524	4	17	803
5356	13	21	801
5576	25	22	795
5580	15	28	791
5580	12	32	776
5580	2	29	789
5528	12	27	802
5576	17	30	804
5584	18	24	795
5572	13	28	787
5584	16	26	794
5576	2	24	785
5524	7	21	794
5532	11	35	786
5576	25	30	800
5584	21	22	793
5576	10	30	787
5580	7	29	790
5524	13	37	786
5576	19	32	785
5584	18	11	810
5576	12	22	803
5580	7	34	789
5528	19	24	789
5580	12	31	793
5580	19	23	808
5580	19	22	812
5576	13	19	792
5400	15	33	802
5408	20	17	773
5576	4	25	791
5524	17	22	798
5584	-2	25	793
5536	12	27	786
5584	14	29	796
5576	10	29	801
5580	6	31	787
5528	6	27	803
5524	9	29	798
5528	16	42	797
5576	18	30	796
5584	15	20	799
5572	16	17	787
5584	8	26	796
5524	20	26	790
5576	11	23	781
5584	14	14	800
5576	9	23	810
5528	18	31	788
5580	9	35	790
