delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5528			782
5580	9	18	801
5524	7	11	780
5352	5	21	802
5532	12	28	774
5576	4	25	787
5532	2	17	783
5524	12	7	793
5348	9	15	805
5528	6	28	796
5524	15	22	802
5228	8	16	799
5352	7	9	783
5476	7	26	797
5352	6	30	788
5524	15	26	793
5584	11	29	785
5572	4	17	813
5532	4	24	796
5524	5	10	783
5352	3	23	806
5532	4	42	800
5520	6	23	790
5352	9	24	784
5532	16	14	796
5576	14	20	778
5584	7	31	796
5520	10	37	795
5580	2	15	790
5528	5	13	798
5352	9	14	792
5524	10	28	786
5584	2	32	791
5524	5	22	788
5532	16	25	800
5400	12	18	790
5576	7	15	783
5532	11	41	792
5572	6	37	803
5532	9	21	782
5524	5	7	798
5652	9	25	792
5524	19	40	786
5576	11	34	784
5584	9	18	798
5524	0	8	798
5648	2	8	794
5472	4	29	773
5524	5	29	802
5356	2	18	788
5524	9	12	790
5528	8	9	793
5648	8	9	808
5464	7	28	787
5356	5	44	814
5524	12	28	785
5576	0	25	800
5528	-4	32	788
5540	5	31	779
5352	13	28	795
5584	16	9	811
5520	13	-7	793
5540	19	-11	812
5588	20	1	801
5528	29	8	812
5344	10	28	805
5576	2	43	789
5532	5	39	802
5524	3	21	773
5524	-2	27	760
5376	4	54	771
5524	10	28	787
5584	32	1	791
5520	42	-22	841
5588	55	-26	827
5596	46	-11	828
5592	39	4	813
5528	27	22	818
5576	14	10	785
5580	0	12	783
5524	-31	46	755
5596	-35	87	767
5600	-28	73	793
5596	-46	26	774
5428	-48	24	800
5420	-26	27	791
5420	-27	27	782
5248	-15	39	794
5256	-7	31	798
5364	8	4	826
5468	12	-10	798
5240	29	21	800
5404	44	51	801
5580	34	34	809
5576	33	10	790
5412	26	2	802
5344	25	8	797
5520	12	34	757
5584	6	55	793
5524	11	30	800
5228	13	4	795
5348	10	15	791
5580	23	44	803
5576	20	53	809
5584	10	58	768
5576	21	22	845
5580	18	6	804
5520	15	21	786
5580	12	76	797
5580	9	56	765
5524	-16	18	798
5600	-7	14	790
5540	-7	5	794
5488	-14	33	787
5244	-6	50	813
5364	0	28	767
5524	10	-2	847
5540	23	-39	780
5588	22	-14	785
5600	27	11	820
5572	33	22	792
5584	36	19	788
5576	27	-15	838
5600	31	-26	762
5416	2	27	822
5348	-4	58	775
5540	-7	39	751
5548	-16	31	811
5596	-13	13	806
5600	-6	23	778
5536	-16	56	844
5604	6	59	765
5524	1	31	778
5524	3	4	874
5648	11	-27	747
5592	0	41	820
5528	4	55	832
5528	20	20	747
5580	-7	14	837
5540	9	3	766
5648	21	7	765
5520	6	27	823
5524	32	11	773
5584	24	23	791
5576	18	13	836
5580	38	-12	762
5588	24	7	840
5528	23	31	813
5576	46	36	777
5576	24	21	849
5580	24	13	763
5576	16	27	764
5584	21	61	815
5576	3	74	753
5532	3	62	799
5524	-12	32	786
5604	-14	30	769
5592	-11	52	816
5592	-16	44	780
5604	-6	41	784
5536	-3	7	838
5488	12	-8	756
5532	2	-1	782
5308	3	23	806
5528	8	19	781
5700	-2	17	842
5544	21	-3	755
5536	-2	-7	795
5492	6	14	773
5532	4	33	787
5352	13	27	774
5584	0	9	833
5464	10	3	804
5344	10	14	808
5584	15	33	774
5572	21	59	810
5576	13	40	796
5584	10	31	807
5576	5	31	802
5532	6	52	803
5524	15	61	792
5584	13	44	771
5576	9	20	828
5524	11	-13	738
5596	7	-1	796
5652	13	20	776
5408	11	7	811
5348	9	4	780
5644	8	0	843
5476	25	-46	747
5592	22	-3	819
5540	22	14	795
5576	17	19	803
5584	22	14	832
5576	34	7	764
5520	18	17	784
5584	18	54	806
5572	2	59	760
5532	-15	60	818
5592	-2	70	803
5548	-10	51	765
5592	2	50	793
5528	1	53	771
5532	5	43	779
5348	10	23	820
5576	24	12	786
