delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5524	5	22	792
5528	2	31	797
5528	8	27	798
5352	7	23	792
5524	3	22	805
5532	16	25	811
5576	8	12	812
5528	3	30	796
5352	4	17	802
5524	7	23	802
5532	4	13	788
5352	13	13	788
5576	13	20	779
5580	6	24	808
5524	7	26	804
5532	2	14	801
5524	6	21	791
5352	18	13	796
5584	1	15	804
5524	15	14	797
5580	20	20	799
5576	9	22	805
5524	9	23	792
5532	3	17	795
5524	2	18	804
5352	-5	15	797
5548	-1	28	796
5540	7	27	788
5532	6	25	810
5348	6	17	785
5528	6	21	813
5528	2	13	790
5352	7	15	794
5524	2	23	792
5532	2	19	797
5524	4	23	783
5352	8	24	801
5528	2	20	798
5524	10	14	814
5404	3	26	795
5532	9	19	784
5524	4	22	781
5532	13	26	786
5576	8	14	786
5524	7	23	799
5356	8	20	804
5524	14	15	791
5580	8	18	802
5528	-1	22	786
5540	10	23	792
5584	9	21	800
5524	10	19	792
5400	10	21	796
5584	11	21	808
5404	12	9	807
5344	17	13	783
5584	7	18	798
5524	4	20	784
5532	14	9	775
5348	12	16	807
5576	8	14	803
5528	2	21	796
5528	12	26	799
5580	5	29	794
5524	2	22	790
5352	4	21	801
5532	11	20	791
5576	14	25	790
5576	5	35	787
5528	10	27	797
5576	5	20	797
5532	3	27	797
5524	15	24	791
5404	8	29	803
5528	-3	26	788
5540	-1224	-1492	42
5608	-434	-14	1139
5548	245	117	577
5512	474	1	836
5584	313	-215	974
5532	159	-137	896
5708	98	186	934
5460	-156	257	600
5540	-324	161	744
5532	-350	-113	751
5376	-236	-185	634
5552	-68	11	803
5592	57	209	841
5464	217	79	932
5636	251	-17	825
5472	214	-89	901
5304	99	-70	812
5592	-28	77	769
5596	-122	124	772
5540	-154	36	714
5648	-131	-35	777
5500	-36	-33	790
5608	48	65	811
5584	99	106	842
5460	117	58	854
5640	93	-33	822
5588	30	-55	794
5420	-23	4	799
5372	-82	60	773
5592	-88	74	760
