delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5312	-1297	1423	-2087
5548	715	3387	-2736
5640	-829	-544	1078
5608	521	-1299	-417
5424	-574	-3515	3919
5312	-1237	890	343
5592	1337	2495	-1647
5528	847	1418	-1540
5640	329	-57	739
5476	402	-3730	4074
5296	-998	-638	1744
5604	-224	1537	-1848
5492	585	3112	-2769
5292	65	3	1662
5576	963	-1909	100
5592	-452	-3201	3214
5656	-1137	1665	277
5480	309	2320	-1719
5640	-1068	458	-1065
5488	1574	415	-201
5584	-417	-3088	4606
5668	579	504	1110
5572	-1012	1715	-2523
5540	-339	2512	-2186
5492	-772	-3	1553
5668	829	-2845	2066
5472	-188	-1959	2344
5660	92	1373	-554
5540	660	3124	-2638
5468	-21	123	797
5304	-13	-1084	-461
5564	348	-3393	4348
5644	-2183	758	870
5592	1143	2306	-1878
5528	44	1973	-1867
5588	-40	730	340
5488	-118	-3781	4016
5660	-43	-806	2078
5552	-697	1337	-1747
5488	702	2969	-2604
5292	-450	-311	1632
5608	444	-2431	353
5584	-219	-2769	2988
5488	-1350	474	437
5244	549	2570	-2090
5296	371	1518	-964
5584	-650	-145	29
5668	-1430	-4164	4413
5544	-379	-196	1559
5608	856	1512	-2058
5468	476	2953	-2381
5640	326	-243	1692
5588	-1184	-3283	1464
5544	57	-2355	2510
5592	-1038	1117	-119
5484	599	2845	-2485
5648	221	1021	6
5456	-226	-853	-714
5388	-1046	-2974	4122
5548	-13	300	1407
5536	-1439	2280	-1266
5548	-504	2454	-1995
5660	-1382	-135	1213
5484	-418	-3218	3129
5668	-383	-1345	2061
5484	-575	1217	-1371
5492	-443	3147	-2765
5312	553	76	1317
5516	1163	-1395	-243
5308	-718	-3474	3284
5664	-572	1088	1542
5472	1989	2614	-2132
5528	508	1752	-1207
5296	534	625	185
5688	296	-3335	4059
5472	737	-413	1882
5584	309	1590	-887
5592	64	3105	-1615
5588	238	79	1611
