delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5356	2	28	794
5528	5	19	797
5524	9	22	795
5704	6	26	814
5524	7	24	792
5532	7	26	791
5524	6	33	792
5532	13	22	790
5400	7	25	788
5524	12	31	790
5584	2	18	796
5524	3	21	807
5524	0	30	786
5528	14	26	784
5404	17	26	794
5580	9	27	786
5524	11	18	796
5576	4	27	790
5532	10	25	787
5576	11	19	781
5584	7	10	793
5524	12	31	787
5584	10	25	795
5576	0	24	791
5524	4	25	808
5532	9	31	800
5696	9	21	792
5528	3	23	796
5528	7	27	808
5528	4	31	803
5524	4	19	799
5352	6	20	787
5532	6	24	778
5524	3	33	791
5352	8	28	796
5528	5	19	814
5524	4	20	798
5524	3	26	807
5356	6	27	810
5524	3	28	802
5524	8	20	788
5360	8	23	777
5524	7	31	787
5524	3	30	796
5356	8	14	801
5524	-1	27	800
5540	7	28	800
5532	1	25	797
5352	3	29	802
5524	9	27	804
5528	6	36	802
5700	13	21	785
5408	4	29	808
5348	4	33	796
5524	8	15	775
5532	1	29	797
5352	6	23	796
5524	9	34	793
5532	9	27	817
5696	8	21	799
5532	6	30	794
5524	16	22	791
5584	12	26	790
5576	-2	33	802
5540	8	21	794
5528	6	26	802
5524	11	32	795
5408	4	25	801
5524	15	32	794
5576	3	21	801
5528	12	26	806
5576	7	34	800
5532	2	23	786
5524	1	33	788
5352	5	31	794
5532	3	15	808
5524	7	24	795
5524	5	25	797
5360	6	25	795
5520	10	22	791
5576	4	19	811
5532	9	26	796
5700	12	24	789
5408	8	25	803
5348	2	30	799
5528	5	40	786
5528	4	15	805
5352	7	27	789
5524	0	20	791
5532	2	24	799
5524	10	28	795
5404	1	19	811
5532	10	23	794
5576	5	30	796
5532	5	27	806
5524	7	22	790
5532	5	23	793
5348	10	19	792
5576	8	25	787
5532	9	22	788
5524	7	29	795
5524	8	26	793
5360	-3	22	812
5536	1	29	787
5528	11	17	806
5580	9	29	813
5524	6	22	798
5352	7	29	779
5532	4	24	812
5524	-2	34	790
5372	3	26	785
5524	1	22	785
5524	6	28	803
5532	8	27	802
5348	9	20	774
5524	5	18	804
5528	5	27	796
5700	10	11	796
5408	5	34	791
5352	15	24	801
5576	3	21	784
5528	8	22	796
5528	5	20	797
5524	2	32	809
5356	20	24	792
5576	4	25	802
5532	9	26	785
5524	12	22	789
5228	7	26	799
5352	12	22	789
5580	-1	30	801
5540	-1	24	808
5544	3	27	800
5524	4	23	796
5352	5	23	795
5532	-3	24	798
5540	5	21	804
5524	2	18	797
5356	8	21	797
5524	5	25	793
5528	3	26	786
5704	7	25	813
5524	7	14	796
5528	7	29	794
5524	13	27	794
5584	5	38	793
5524	7	31	798
5352	6	24	800
5532	10	25	776
5576	8	15	795
5524	21	18	782
5580	5	24	792
5528	4	28	792
5704	6	24	799
5524	6	32	796
5532	7	26	794
5524	16	28	790
5576	4	31	790
5532	9	23	813
5348	2	19	799
5532	10	29	784
5576	0	29	797
5528	6	33	802
5528	5	23	802
5352	3	21	788
5524	-1	21	796
5548	8	24	793
5524	7	19	808
5348	9	20	803
5532	-3	40	797
5536	6	21	793
5532	8	32	778
5352	4	25	785
5524	3	25	791
5532	-2	18	790
5364	16	21	793
5576	3	37	787
5532	7	27	807
5524	9	24	798
5528	5	27	806
5700	9	21	796
5524	8	22	790
5532	2	22	788
5524	9	19	789
5532	8	33	791
5352	12	25	798
5576	12	20	802
5580	8	32	786
5524	9	30	794
5532	10	31	799
5576	2	32	800
5524	0	27	792
5708	15	24	789
5400	9	21	800
5356	6	19	776
5524	6	27	794
5528	9	22	791
5356	4	18	792
5524	7	24	792
5528	6	24	807
5528	-2	23	803
5364	6	28	793
5528	6	18	789
5528	10	24	803
5576	6	34	810
5532	10	31	793
5404	10	19	796
5576	0	22	783
5532	8	29	796
5524	11	29	792
5584	9	24	795
5524	1	24	809
5524	6	24	786
5704	6	31	781
5524	4	27	785
5532	8	19	785
5524	11	22	796
5584	5	30	783
5524	15	21	793
5404	7	26	798
5528	4	22	801
5524	13	29	797
5584	12	23	791
5576	8	19	791
5528	12	17	796
5580	-2	21	791
5540	7	20	785
5532	4	26	795
5696	9	24	789
5532	12	18	793
5576	10	17	800
5576	1	24	791
5532	4	22	793
5524	14	31	791
5580	9	31	806
5524	5	22	801
5532	-1	28	797
5364	12	24	789
5576	14	26	793
5584	4	29	809
5524	4	31	798
5524	13	22	799
5584	3	29	787
5524	7	18	801
5528	3	21	802
5352	1	30	788
5524	8	19	794
5532	5	28	802
5348	5	20	800
5524	10	29	791
5584	4	26	807
5524	10	28	791
5584	6	15	772
5524	9	23	784
5352	10	21	797
5584	11	25	788
5576	6	22	797
5532	8	22	784
5524	8	23	785
5524	8	24	779
5360	10	23	783
5576	0	23	798
5524	3	25	788
5532	12	26	812
5576	1	28	802
5528	2	27	798
5700	11	29	800
5408	9	20	804
5352	7	24	788
5524	1	34	790
