delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5576	11	22	809
5580	8	16	797
5528	10	23	805
5580	13	22	808
5576	11	18	795
5584	16	22	805
5576	2	17	793
5524	7	18	808
5532	14	28	792
5572	12	24	784
5584	8	24	795
5524	19	19	802
5580	9	22	799
5528	8	20	809
5524	13	15	810
5228	11	14	793
5408	15	15	793
5576	7	27	805
5532	13	21	787
5576	15	26	788
5576	11	19	786
5584	15	21	803
5400	14	19	792
5404	19	15	777
5580	12	24	813
5404	9	28	795
5352	17	33	785
5580	8	17	791
5524	13	16	796
5584	10	18	798
5576	15	26	797
5584	10	29	786
5576	13	23	794
5576	7	22	791
5528	5	25	805
5524	17	25	790
5584	14	25	811
5576	15	15	799
5584	10	19	817
5576	13	19	787
5584	11	16	806
5572	13	28	802
5576	10	21	809
5408	8	18	793
5352	14	24	787
5576	15	24	798
5580	20	20	782
5580	12	23	797
5580	16	22	793
5404	15	19	802
5404	15	23	795
5580	4	20	800
5524	12	32	801
5580	13	25	808
5576	14	19	780
5404	15	18	793
5408	13	18	798
5576	14	14	808
5400	15	19	790
5412	19	17	797
5576	5	25	803
5524	9	30	790
5532	13	24	798
5576	10	27	791
5584	18	24	783
5576	16	21	790
5584	6	24	818
5524	14	28	789
5576	14	23	797
5580	14	22	779
5580	13	18	782
5580	10	25	805
5400	17	22	795
5404	15	20	781
5584	9	22	808
5520	18	18	795
5584	8	19	788
5524	11	21	805
5576	11	22	799
5580	9	20	796
5528	23	21	792
5580	18	28	787
5576	23	24	798
5584	13	24	792
5572	20	20	799
5584	15	29	797
5404	8	21	794
5352	7	17	815
5524	17	31	795
5580	14	22	792
5580	12	19	791
5580	14	23	811
5576	12	21	803
5584	8	18	799
5524	7	25	808
5532	14	12	802
5576	17	19	784
5576	12	32	790
5584	8	29	794
5524	10	19	789
5580	15	24	800
5576	15	16	795
5584	8	19	794
5524	8	21	800
5524	12	23	801
5236	10	13	794
5400	17	17	791
5576	5	33	799
5532	11	35	787
5576	14	18	798
5584	9	18	804
5524	13	26	800
5576	12	24	798
5580	15	23	795
5576	5	27	795
5532	8	26	796
5524	17	28	793
5584	16	32	789
5576	11	25	805
5576	9	22	796
5532	10	26	786
5572	11	14	789
5584	14	17	795
5576	11	18	798
5584	13	16	798
5576	11	24	795
5576	9	17	812
5528	10	29	819
5576	9	21	805
5532	14	23	806
5576	15	22	796
5584	10	26	793
5576	13	25	796
5584	10	23	788
5400	11	24	788
5404	8	24	790
5524	13	19	799
5580	14	19	797
5580	10	21	796
5580	14	28	804
5576	13	22	797
5412	14	17	790
5400	13	26	792
5404	12	24	796
5404	13	20	799
5584	11	22	808
5400	18	20	785
5404	11	28	798
5580	8	17	804
5524	14	20	799
5584	8	11	800
5524	16	27	800
5580	11	24	786
5576	17	19	795
5576	11	17	796
5584	11	23	813
5404	9	20	803
5348	5	21	806
5532	8	26	788
5524	9	23	794
5352	12	12	808
5580	15	25	803
5576	14	23	797
5584	15	21	805
5400	12	18	792
5404	13	21	790
5580	9	25	786
5528	16	23	808
5580	15	24	798
5576	7	21	792
5524	8	18	812
5532	9	23	813
5524	10	16	794
5584	8	17	799
5524	12	21	791
5404	13	20	782
5408	6	24	789
5352	10	23	796
5576	7	29	815
5532	11	17	801
5576	12	17	811
5580	9	27	804
5524	10	23	794
5576	9	23	798
5532	13	33	797
5576	9	21	787
5528	13	33	778
5404	14	27	789
5400	11	26	797
5408	17	24	804
5576	18	16	800
5400	14	11	801
5408	13	26	792
5576	10	17	814
5400	16	24	805
5408	12	26	792
5576	14	17	801
5400	16	21	801
5408	19	21	786
5576	12	17	799
5400	18	24	786
5408	13	21	775
5576	10	19	802
5404	19	25	791
5408	12	31	782
5576	15	14	790
5404	9	25	813
5348	15	24	799
5584	21	21	793
5576	10	21	802
5584	9	16	795
5524	13	17	807
5580	17	21	818
5576	14	17	792
5584	10	18	794
5404	9	16	795
5352	6	18	804
5524	8	12	806
5528	15	22	791
5404	8	23	780
5532	9	16	801
5524	12	29	791
5576	11	27	795
5584	10	30	793
5576	11	25	793
5580	20	25	789
5576	12	29	791
5404	11	28	805
5404	21	16	794
5576	16	18	811
5404	10	22	805
5404	20	11	786
5576	11	22	803
5404	15	21	792
5408	13	15	792
5576	12	19	795
5404	14	30	800
5408	26	14	788
5400	17	28	796
5404	13	23	798
5584	18	27	796
5400	16	22	798
5404	13	21	799
5584	9	19	814
5524	11	29	795
5580	7	31	791
5528	16	31	792
5576	17	16	790
5584	16	20	786
5576	18	20	792
5584	15	30	791
5400	15	32	793
5404	13	19	800
5580	9	18	785
5524	7	20	810
5532	15	21	803
5572	20	23	794
5580	20	22	789
5580	12	25	785
5576	14	21	793
5584	11	20	801
5400	17	22	796
5404	8	24	783
5528	11	20	816
5576	14	27	792
5584	15	26	791
5576	5	19	790
5532	12	24	791
5576	15	19	805
5576	11	18	799
5580	9	28	813
5524	7	25	800
5532	7	20	807
5524	13	21	796
5576	10	19	789
5580	10	15	803
5576	18	19	795
5584	17	27	800
5576	10	21	789
5580	14	19	805
5576	12	19	791
5584	12	29	790
5404	10	24	798
5400	15	19	787
5584	16	16	781
5404	8	20	803
5348	15	22	798
5584	14	25	781
5576	11	18	794
5576	12	22	804
5580	15	26	799
5404	14	23	801
5400	4	11	804
5532	18	20	794
5576	10	19	791
5584	14	25	801
5576	12	24	794
5580	10	20	809
5404	9	22	808
5348	11	22	802
5584	14	26	790
5576	11	19	798
5580	13	14	809
5580	15	22	782
5400	11	23	795
5408	6	15	797
5524	17	22	790
5576	14	18	797
5584	13	27	798
5576	12	21	798
5584	14	16	814
5400	10	20	794
5404	8	23	794
5532	15	24	790
5576	13	18	796
5584	10	20	794
5576	9	23	802
5524	12	19	790
5584	13	17	790
5576	13	23	795
5584	11	18	807
5400	10	20	803
5404	9	24	807
5528	17	29	790
5576	9	20	810
5532	11	22	802
5576	7	30	803
5524	8	29	803
5532	11	23	785
5576	20	22	789
5580	17	28	804
5576	21	23	792
5584	14	23	801
5576	12	22	811
5576	16	20	796
5580	15	23	792
5576	14	23	803
5584	17	20	796
5404	17	16	795
5400	14	18	776
5584	11	17	810
5404	10	32	806
5400	15	22	797
5408	12	29	803
5404	10	17	808
5576	9	17	797
5532	18	22	791
5572	13	15	788
5584	11	26	788
5576	14	18	799
5400	13	22	793
5412	12	25	791
5572	7	23	810
5532	15	18	802
5576	16	30	787
5576	20	24	799
5408	20	27	786
5404	10	21	802
5576	10	20	779
5408	11	25	809
