delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5584	13	28	795
5576	19	35	799
5584	13	42	797
5576	14	36	785
5584	-2	41	794
5536	5	37	793
5528	11	35	790
5404	6	38	792
5528	6	35	810
5528	23	24	797
5576	9	30	813
5528	16	29	806
5408	22	31	794
5572	29	25	794
5584	39	22	789
5576	27	28	792
5576	35	26	798
5584	33	33	809
5576	27	28	799
5412	21	24	786
5400	27	40	802
5576	10	26	779
5584	4	25	779
5524	8	23	786
5532	3	29	814
5524	8	34	785
5352	8	23	797
5528	28	27	798
5576	17	26	803
5584	20	14	810
5576	26	21	790
5576	25	24	798
5584	20	25	801
5576	16	15	792
5580	23	16	785
5580	20	15	789
5580	23	21	796
5576	13	27	786
5584	3	34	798
5524	24	25	791
5576	25	41	797
5584	20	33	790
5576	12	41	779
5580	28	40	806
5576	14	39	784
5584	18	31	789
5576	16	34	791
5584	7	44	792
5524	14	46	804
5400	17	30	793
5412	17	27	779
5400	11	24	790
5576	14	33	799
5584	19	26	787
5572	22	36	791
5584	29	16	799
5576	24	24	789
5580	24	26	795
5580	32	28	803
5576	27	22	801
5408	14	27	787
5400	11	36	792
5580	9	30	818
5528	7	34	797
5524	7	27	777
5532	11	29	806
5404	12	29	784
5576	19	28	798
5580	28	23	805
5576	20	18	798
5584	30	18	801
5576	28	15	813
5580	25	19	797
5576	28	20	810
5576	22	22	808
5584	16	33	795
5576	18	31	788
5412	19	30	778
5400	13	33	793
5576	7	33	787
5528	6	32	793
5528	14	43	793
5580	14	38	795
5580	16	27	803
5576	18	33	798
5580	33	34	799
5576	24	24	800
5584	26	17	795
5576	19	20	801
5584	14	26	797
5576	17	32	811
5580	11	27	801
5576	13	30	790
5584	13	31	809
5576	19	29	794
5576	17	37	788
5580	19	35	797
5580	23	41	795
5580	21	35	792
5576	31	24	794
5584	29	33	802
5572	20	27	811
5584	16	26	810
5576	15	23	798
5576	21	26	797
5584	21	22	776
5576	25	24	793
5584	12	30	789
5576	14	23	780
5584	16	28	789
5576	23	20	802
5580	23	22	793
5576	23	29	807
5404	13	23	807
5408	15	16	774
5576	11	13	803
5576	15	22	794
5584	7	38	793
5524	10	33	804
5580	11	9	799
5524	10	11	804
5580	24	10	796
5576	37	35	779
5584	38	45	792
5576	34	32	810
5576	28	16	785
5580	24	20	800
5576	19	27	795
5584	15	44	801
5576	5	46	808
5532	0	33	791
5696	-1	29	780
5544	-4	27	786
5540	1	30	791
5528	13	38	791
5580	17	43	803
5576	24	32	786
5584	29	25	809
5572	34	23	780
5584	44	39	812
5576	32	25	812
5584	36	14	781
5576	23	5	798
5520	9	10	803
5704	9	13	795
5524	11	28	782
5580	11	34	798
5580	15	12	799
5580	13	13	800
5576	20	28	802
5584	32	47	801
5572	29	43	815
5576	28	34	792
5584	30	28	792
5576	28	23	802
5584	20	28	795
5572	15	32	790
5584	8	21	787
5524	19	10	791
5584	8	16	782
5524	15	24	798
5576	13	28	795
5584	1	24	787
5524	15	29	806
5408	20	38	809
5576	13	52	803
5576	9	63	782
5532	20	37	775
5572	24	29	789
5584	17	30	799
5576	10	31	804
5580	12	25	780
5580	15	13	801
5576	11	11	796
5580	6	14	798
5528	16	29	793
5580	26	29	791
5576	27	26	796
5584	19	29	781
5572	26	34	779
5584	19	34	795
5576	20	42	789
5576	22	26	792
5584	16	27	774
5576	21	18	789
5584	19	23	810
5576	8	29	791
5532	17	34	782
5576	23	28	792
5584	18	28	782
5576	25	19	788
5576	29	30	783
5584	29	38	806
5576	30	34	795
5580	22	36	781
5580	16	31	789
5580	5	30	785
5528	16	28	792
5580	6	30	784
5528	12	27	790
5576	9	25	788
5532	12	31	797
5400	16	40	793
5584	20	40	811
5576	24	31	806
5576	19	33	808
5408	11	31	801
5400	15	36	795
5576	10	29	794
5584	15	31	800
5576	8	25	794
5532	16	31	792
5576	13	35	786
5580	12	41	780
5580	22	27	793
5580	30	26	795
5576	25	31	795
5576	28	31	794
5584	25	27	782
5576	31	30	798
5584	30	22	802
5576	16	22	786
5580	15	22	796
5576	18	31	781
5584	15	30	784
5576	17	20	794
5404	17	20	789
5408	29	20	796
5576	22	25	820
5576	13	35	809
5580	19	17	798
5576	17	26	788
5584	19	44	801
5576	7	32	795
5532	14	27	803
5576	14	21	792
5584	8	21	799
5520	10	31	794
5580	15	29	794
5580	10	27	797
5580	23	29	785
5580	19	33	794
5576	15	36	790
5584	15	22	807
5576	13	32	804
5584	16	28	816
5576	12	28	800
5576	10	33	796
5584	6	34	804
5524	16	30	810
5580	14	35	797
5576	22	31	794
5584	18	27	792
5576	21	30	794
5576	26	25	809
5584	17	20	805
5576	15	24	799
5584	22	24	810
5576	15	26	808
5580	21	20	819
5576	20	22	791
5580	17	24	802
5576	25	26	779
5584	18	28	785
5576	16	30	789
5576	33	25	796
5584	31	20	784
5576	17	28	804
5580	27	31	805
5576	22	30	793
5404	18	37	797
5408	9	32	803
5524	15	30	807
5580	7	28	790
5528	12	28	779
5576	24	35	784
5584	8	29	773
5524	17	34	801
5408	26	33	813
5576	18	24	804
5576	21	21	790
5584	20	36	793
5576	16	40	782
5584	11	25	788
5400	16	24	788
5404	10	21	805
5580	18	26	788
5580	8	30	796
5532	6	27	788
5524	15	31	805
5580	12	27	795
5576	16	30	803
5576	11	25	798
5584	9	24	776
5524	14	30	788
5408	17	37	804
5576	23	23	798
5404	19	34	801
5408	18	33	775
5576	22	27	813
5576	15	25	796
5584	13	21	799
5576	20	21	789
5584	27	33	798
5576	15	22	815
5408	21	26	803
5400	20	29	796
5580	25	20	801
5580	12	41	786
5576	8	36	785
5532	18	29	794
5576	16	33	784
5576	14	34	793
5584	23	30	792
5580	13	30	793
5580	12	24	793
5576	18	28	783
5584	21	40	788
5576	17	36	785
5580	23	33	804
5576	24	30	791
5580	22	36	799
5580	27	24	790
5576	15	32	794
5584	9	24	797
5524	11	25	787
5584	9	31	796
5524	15	22	792
5584	17	22	796
5576	11	25	793
5576	14	25	801
5584	22	16	789
5576	25	28	792
5584	21	21	797
5576	29	18	792
5580	26	37	788
5576	33	27	796
5584	27	27	810
5576	17	28	786
5576	21	26	779
5584	23	37	775
5576	16	35	790
5584	24	33	793
5576	18	35	791
5580	24	34	792
5576	22	31	795
5584	21	37	789
5576	18	33	804
5404	12	33	781
5408	22	30	785
5576	21	23	808
5576	14	37	793
5584	18	25	802
5576	15	38	786
5584	21	38	793
5576	14	35	785
5580	14	35	795
5576	5	28	779
5532	10	36	786
5576	14	30	788
5576	6	26	794
5532	12	25	780
5576	17	30	808
5584	15	28	805
5572	17	33	799
5584	14	28	796
5576	18	29	784
5584	14	25	805
5576	17	22	794
5576	16	19	792
5584	15	27	787
5576	17	30	793
5584	4	13	804
5520	18	31	792
5584	16	24	789
5572	19	23	789
5584	18	38	793
5576	21	18	778
5580	22	38	802
5580	18	38	795
5576	22	31	793
5584	21	29	809
5576	20	31	790
5580	14	37	779
5580	12	33	805
5580	21	30	788
5576	14	31	780
5580	19	26	787
