delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5584	-1193	600	965
5588	1173	-623	1564
5476	1210	-1461	1258
5348	322	-523	854
5528	-1234	445	1688
5652	86	39	-191
5588	-568	-907	1526
5436	-1285	488	1242
5300	-429	-453	-419
5560	158	-1649	1618
5644	-836	-1846	2417
5488	-735	-754	808
5552	-415	-523	2332
5256	1315	917	1409
5276	-59	-914	434
5316	2001	-2434	999
5648	-102	-38	846
5492	-1018	-594	581
5604	1929	-1791	-972
5484	448	-1821	365
5412	709	-1560	1831
5468	-860	-191	545
5552	441	397	1908
5572	-1005	576	1768
5652	-335	971	-143
5544	80	-384	1524
5536	-567	219	1027
5588	1001	-276	405
5584	-1549	-2110	1092
5548	-360	-44	2277
5548	270	-116	1808
5592	1228	-1496	817
5640	-932	535	1681
5596	1060	-2023	1055
5520	433	-1748	-192
5608	1069	-1930	639
5464	-244	-1081	1592
5660	-646	-484	-304
5564	125	466	1379
5572	1060	2983	1837
5516	-201	1758	162
5588	2095	-380	1790
5648	964	-1119	1222
5464	907	-204	1643
5592	310	-1410	874
5584	874	1396	1268
5628	-302	1276	1344
5476	790	-3741	482
5584	608	109	585
5696	1765	976	1532
5452	1392	-768	-696
5604	-1812	-2207	1897
5544	-1503	-860	1942
5664	2016	-577	699
5584	930	-1802	2261
5468	1231	-1413	1226
5528	1382	673	1070
5280	2013	-2217	1658
5348	-648	2791	1011
5472	2483	-329	2316
5300	1298	-1717	89
5580	-782	-1441	1434
5664	-628	-2351	1356
5488	1242	-2164	-591
5660	238	-572	432
5528	-264	299	1973
5588	-208	367	695
5540	-729	-502	2539
5604	1511	-221	1242
5472	1161	783	1114
5280	626	-1791	1519
5640	-746	799	860
5540	-1021	-494	1943
5660	313	-2440	539
5416	-988	159	1016
5416	524	40	1293
5516	911	-1515	-602
5604	218	-719	-81
5484	1103	-654	2420
5648	-1029	-714	-110
5444	588	-913	2173
5408	433	1444	2437
5456	-67	619	1133
5544	-670	-1028	1525
5308	216	-708	328
5528	-165	740	1752
5424	-711	1187	770
5416	1403	47	733
5340	1621	-997	925
5592	-1246	-1317	-1188
5556	1507	-1023	25
5592	-438	569	1520
5588	66	-769	-229
5488	-473	-2208	1729
5664	-313	97	1618
5532	1627	-374	1114
5648	737	-667	1397
5412	619	126	1188
5396	-360	745	291
5540	-863	-649	795
5548	321	-719	1328
5588	538	-26	768
5472	367	-2368	56
5356	539	-42	629
5656	761	-745	1943
5408	1317	-884	-766
5424	-539	-1562	2812
5492	-711	-789	1667
5604	-865	252	890
5540	2291	-1417	2385
5524	-821	634	1885
5588	-757	-249	2562
5608	733	-2469	1094
5644	-1253	640	82
5536	246	1548	1719
5452	-768	-2311	855
5256	418	-1246	620
5420	1103	-1870	926
5468	-1225	-898	-746
5616	2176	-25	2051
5592	1165	-1575	2396
5524	971	-732	699
5536	-176	-1228	2762
5656	-102	-1119	1922
5492	-810	125	1212
5588	570	-2766	1111
5648	752	574	879
5516	1229	1107	2037
5508	1017	-2206	581
5300	-1122	-1216	1074
5544	3084	148	807
5396	1855	-846	-87
5548	299	-556	1534
5588	-576	884	2128
5596	-2034	308	730
5416	-61	54	1868
5300	-1120	69	954
5532	847	-21	369
5308	985	-1426	1275
5636	74	-802	1160
5532	402	398	1306
5572	-3	-3042	225
5492	759	-231	618
5364	2396	-1106	1239
5524	217	-2069	-802
5596	1438	-217	600
5592	338	457	1822
5572	-1850	268	781
5596	144	-1334	1361
5468	-1050	-436	878
5256	200	894	133
5340	-397	-2159	1509
5488	-364	407	1023
5416	1577	348	2237
5456	1498	-3321	95
5588	576	-3377	482
5584	-658	-330	1055
5608	234	-1298	-178
5600	2455	-1438	1025
5528	-132	1084	2542
5644	868	-1299	-147
5424	1350	-121	1894
5300	-36	309	1643
5540	1687	-15	1260
5408	1212	-318	1551
5476	-1628	808	1033
5640	-1530	806	2068
5480	402	-3157	560
5584	-587	1324	983
5588	-662	257	631
5540	936	-2081	-972
5600	516	-1151	552
5592	160	-336	1943
5584	-619	-756	-736
5568	-1565	-1025	1609
5540	1203	438	2371
5632	-191	-535	654
5548	-228	-1786	3112
5488	694	-658	1114
5244	1319	-1149	279
5292	-1307	-1615	1030
5540	381	600	2093
5396	224	-108	1082
5588	1966	-2104	-498
5480	-1220	-788	365
5612	768	-450	1520
5584	-656	378	-482
5552	952	-176	2176
5584	-631	-1950	2302
5488	633	312	527
5348	-3196	-2325	2411
5544	219	-588	467
5528	1459	-512	1334
5644	1002	-1560	1457
5524	-1031	945	128
5592	-559	351	2375
5588	-1207	-2897	933
5492	-388	885	1826
5416	-1360	-1204	1220
5540	515	-404	-566
5548	-1143	-888	446
5604	1589	-1262	1910
5532	-1037	-34	-123
5560	-381	308	1647
5588	-149	-124	778
5552	3424	-694	-21
5544	86	-1606	1907
5588	-755	-1197	1236
5664	834	-929	1616
5416	3069	-3137	1043
5348	-1770	978	1390
5644	1291	509	887
5404	301	-1766	-187
5424	-482	-1378	239
5428	433	459	1924
5396	-377	-1709	-771
5452	883	163	2216
5568	-780	1059	1793
5300	-1619	12	871
5536	-310	-1863	1420
5312	486	-827	549
5528	-9	1356	1656
5540	2219	-1671	863
5296	791	-475	961
5528	1189	1275	1242
5344	1387	-1182	-544
5652	1730	526	978
5576	1060	-1610	1915
5524	-92	930	787
5484	-1116	50	1784
5240	-1021	1206	496
5304	-85	998	339
5652	1593	-256	1398
5468	-299	-1399	842
5264	-850	-449	2086
5256	103	-1197	26
5352	-337	-1651	553
5604	463	-1576	1394
5472	888	-779	-1377
5252	-813	-1117	1365
5312	423	157	2375
5580	-1205	1309	-59
5600	346	-397	1707
5584	319	2170	1041
5460	558	-512	1415
5412	2388	-3627	835
5468	-965	281	1242
5592	817	-129	1565
5588	-304	-2628	-41
5568	549	-262	398
5528	1843	1106	1119
