delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5652	-283	577	920
5532	24	388	770
5464	12	627	656
5296	240	460	788
5688	-20	456	816
5484	-24	-281	724
5664	-175	-600	871
5548	-387	-835	698
5552	-218	-395	820
5548	-156	128	826
5540	-353	526	958
5532	203	378	785
5340	-414	605	616
5540	1	326	869
5584	-314	312	757
5540	358	-111	773
5704	281	-519	871
5536	-337	-548	792
5548	-234	-437	861
5548	453	131	870
5516	-148	460	975
5360	-66	930	658
5480	233	280	816
5696	-123	355	858
5532	18	187	788
5468	368	-374	885
5352	-22	-527	883
5492	-65	-691	811
5320	-59	-325	929
5668	213	284	922
5516	-258	182	882
5536	193	181	808
5512	-330	594	659
5360	-62	742	838
5488	23	33	910
5576	-21	-126	663
5668	-236	-285	758
5548	48	-541	730
5480	117	-277	896
5352	410	-53	941
5476	33	93	851
5400	135	588	777
5524	50	544	785
5636	151	335	870
5520	477	-42	782
5472	35	-455	627
5300	46	-502	858
5652	80	-736	706
5472	-111	-608	1054
5612	-6	-106	792
5604	-6	10	800
5536	-265	341	717
5540	242	878	791
5688	388	600	827
5524	171	-297	797
5528	-1	-475	723
5612	146	-348	840
5524	-423	-353	830
5548	509	-140	956
5708	141	-400	847
5528	-152	475	707
5536	-139	515	693
5532	274	541	880
5696	308	325	895
5512	-302	62	763
5484	299	-733	815
5356	95	-330	791
5472	-29	-374	834
5316	-376	120	944
5540	-165	-183	695
5368	28	165	881
5464	31	594	840
5288	304	322	825
5692	-136	494	700
5536	333	67	713
5460	252	20	723
5284	-178	-553	824
5548	-94	-339	763
5324	611	-574	921
5528	172	22	786
5632	-165	513	922
5540	335	493	892
5516	166	538	794
5340	-157	581	761
5540	156	76	883
5632	-12	-58	702
5616	-28	-270	888
5488	503	-644	808
5536	-432	-786	810
5548	-48	172	820
5304	-415	201	931
5540	463	316	941
5340	150	525	735
5516	113	220	892
5696	472	390	918
5512	249	-94	728
5480	28	87	933
5404	414	-675	746
5528	-143	-186	878
5552	136	62	816
5632	393	247	978
5520	-126	553	656
5532	45	315	720
5640	252	622	834
5520	380	74	829
5632	-304	-4	650
5440	-122	-376	858
5372	291	-614	761
5532	-1293	-324	835
5608	531	59	951
5632	-174	86	841
5480	220	298	702
5516	168	491	822
5340	63	574	810
5644	25	152	889
5460	-387	-92	690
5672	-470	-460	693
5544	506	-523	784
5528	-26	-117	917
5500	83	-112	925
5296	-381	230	788
5536	292	321	765
5348	-273	588	682
5532	-347	933	785
5532	221	-12	928
5304	150	-147	630
5532	-73	-391	890
5316	-454	-682	775
5552	435	-287	891
5528	206	-72	832
5300	-114	-124	588
5552	266	491	770
5344	172	811	802
5512	250	446	754
5692	196	-276	852
5532	-53	232	577
5480	549	-673	914
5708	-104	3	726
5420	225	-118	902
5364	355	-388	688
5528	-12	328	729
5660	-267	573	827
5532	45	739	830
5464	-503	423	654
5356	-47	-93	840
5616	124	227	572
5512	-92	-809	961
5500	453	-313	779
5356	-712	67	863
5476	217	-303	639
5364	8	136	766
5584	-328	500	793
5532	548	492	905
5520	325	446	792
5692	46	141	837
5468	-245	-81	632
5664	-125	-162	852
5552	210	-835	814
5528	87	-738	799
5652	60	-368	801
5472	-187	281	801
5532	77	418	931
5292	557	313	952
5696	142	204	747
5512	114	-244	885
5532	-195	206	585
5532	-253	-570	950
5556	64	-430	782
5296	-335	-558	825
5548	10	105	765
5288	-202	393	815
5540	-349	232	830
5360	152	286	801
5512	-143	739	681
5540	-65	90	934
5248	-102	3	658
5420	243	-240	990
5532	-245	-313	666
5548	215	-626	927
5532	20	135	748
5640	271	139	954
5516	541	105	819
5520	-65	323	809
5304	897	222	848
5516	98	192	993
5288	-285	70	637
5308	-66	-741	892
5668	231	-62	764
5476	-159	-523	840
5548	413	-43	808
5648	-54	-51	791
5616	16	421	677
5460	181	421	844
5696	82	926	722
5460	296	-97	907
5652	-172	-26	624
5492	-165	-958	828
5548	417	-558	849
5536	-354	-253	833
5372	55	-86	827
5596	-142	-106	718
5548	-184	340	742
5532	178	529	892
5520	-258	847	673
5360	-134	-9	834
5616	308	72	599
5460	-58	-541	895
5664	22	-200	737
5476	-506	-284	895
5548	451	-412	753
5356	-250	-7	593
5616	-272	750	773
5532	52	549	841
5468	202	592	717
5344	619	-132	953
5528	-39	34	619
5600	-119	-360	922
5544	-48	-123	688
5672	-128	-622	974
5548	-452	-371	692
5552	160	149	771
5512	-52	467	787
5656	389	140	903
5520	-21	638	821
5656	38	199	781
5468	-228	204	654
5532	-76	-342	863
5320	-48	-108	822
5668	-339	-287	916
5548	185	-289	661
5532	-302	202	769
5536	58	644	845
5640	-138	147	910
5532	338	429	581
5516	187	46	806
5640	524	360	657
5512	7	-130	900
5600	-73	-323	705
5664	-398	-581	829
5556	467	-57	571
5472	-440	56	786
5660	104	505	864
5512	-462	275	729
5532	-92	389	687
5664	332	-48	758
5468	1	592	598
5240	75	-490	889
5300	-120	-482	792
5552	-345	-395	774
5372	-92	-478	731
5492	177	111	860
5692	37	857	829
5464	-224	360	747
5540	-85	466	749
5308	8	-43	862
5532	265	39	638
5636	-282	-60	961
5492	273	-340	708
5356	-136	-597	853
5552	49	9	821
5520	13	-21	913
5600	147	347	836
5512	-34	143	779
5308	128	351	887
5692	322	603	880
5516	-321	91	654
5484	322	-512	992
5352	4	-355	678
5596	190	-537	889
5536	-82	-75	725
5608	-469	150	825
5536	-112	144	779
5536	279	429	777
5516	-83	651	719
5312	-204	564	722
5532	112	-119	747
5356	387	-457	890
5536	207	-22	717
5644	10	-148	882
5472	143	65	836
5640	-725	-192	805
5548	-126	202	694
5536	48	604	783
5636	535	668	772
5520	-224	167	755
5532	-58	265	725
5308	-49	-439	908
5500	-393	-492	650
5372	290	-604	962
5528	119	-176	890
5536	-25	13	679
5244	55	321	845
5292	162	406	828
5692	-118	504	746
5532	329	-64	887
5472	239	152	591
5348	565	-716	945
5528	3	-324	767
5596	-368	-169	822
5552	38	-583	770
5648	110	-136	788
5532	190	371	872
5516	-25	443	875
5660	-352	574	695
5532	112	264	732
5516	283	243	646
5692	-20	-624	852
5492	-213	-299	781
5552	134	-55	899
5648	-397	-449	664
5552	506	41	822
5632	-139	394	917
5540	43	757	742
5464	225	402	846
5340	32	285	763
5468	116	157	771
5340	175	-358	835
5528	-110	52	873
5656	-252	-700	855
5544	-81	-613	685
5492	231	24	877
5292	50	338	1072
5692	-108	365	778
5536	-92	634	621
5484	442	175	945
5688	381	-95	755
5476	387	-582	933
5532	199	-152	859
5356	-40	-673	822
5496	394	-25	812
5648	-43	24	902
5596	-91	252	1032
5540	125	371	694
5520	164	416	699
5688	-119	144	856
5536	231	209	680
5516	-9	-671	997
5604	-353	-220	720
5552	107	-637	846
5528	-576	68	762
5656	-394	461	778
5532	228	177	975
5524	274	436	737
5688	277	448	750
5520	55	318	881
5636	-510	278	593
5532	165	2	933
5584	100	-622	744
5528	528	-913	863
5536	-358	206	672
5536	141	258	913
5340	-132	-15	881
5496	137	81	736
5284	125	769	747
5688	-41	179	939
5488	82	37	672
5576	163	-361	1000
5588	-590	-397	569
5548	397	-536	920
5528	-371	55	748
5312	-40	238	908
5652	-155	201	706
5540	-67	407	846
5480	227	710	743
5344	-50	177	856
5484	-126	256	701
5360	214	-527	884
5528	59	-417	797
5652	-200	-134	802
5548	-502	-442	916
5544	-210	336	799
5540	5	321	647
5584	35	640	740
5644	147	685	693
5512	224	119	879
5520	-36	258	661
5652	-26	-774	772
5500	533	-306	808
5528	-123	-230	804
5372	-13	-189	888
5496	-94	-40	728
5608	49	480	755
5640	-142	369	826
5532	-246	960	748
5536	309	206	878
5520	213	-56	680
5296	68	-406	857
5644	-732	-216	708
5556	241	-670	905
5528	-9	-398	853
5612	108	-7	681
5588	-58	685	751
5488	8	697	797
5240	41	596	731
5284	93	240	852
5288	170	351	739
5516	142	-379	864
5360	-370	-31	752
5492	-167	-519	831
5372	-4	-540	734
5612	-532	-373	835
5548	-104	529	906
5536	-518	592	795
5536	-176	1112	698
5588	260	612	745
5524	-100	-124	849
5372	-621	-186	646
5544	-379	-437	794
5556	-700	-465	777
5548	426	-182	827
5532	11	66	851
5404	258	738	963
5516	-61	388	805
5484	-67	296	830
5308	219	123	867
5516	-120	-66	825
5316	83	-231	825
5652	-113	-107	774
5544	406	-798	853
5536	506	-485	975
5528	-42	-14	995
5616	-28	309	886
5652	672	403	834
5520	253	587	866
5516	319	737	826
5516	152	247	870
5348	114	-228	792
5528	372	-783	801
5708	34	-204	766
5472	242	-234	934
5528	-112	20	923
5304	-395	249	798
5540	128	431	730
5340	89	268	774
5464	-28	926	821
5312	94	-153	941
5648	-179	-186	507
5552	-84	-435	941
5492	152	-552	772
5356	-75	-359	1005
5552	-511	-75	731
5492	374	-17	739
5300	75	526	776
5640	27	357	875
5464	156	441	902
5340	-265	-68	828
5496	302	119	703
5344	-242	-494	820
5544	79	-260	828
5652	-492	-454	828
5548	121	-228	679
5536	90	130	787
5636	180	651	793
5512	434	306	834
5524	387	321	822
5688	95	-6	869
5540	350	281	615
5516	-336	-452	871
5552	420	-543	782
5704	295	-543	894
5536	-131	-203	671
5544	-359	273	804
5532	-264	573	792
5540	190	658	848
5688	262	341	766
5520	197	137	835
5516	-22	209	622
5660	-239	-592	924
5544	295	-419	756
5532	-239	-135	775
5552	-50	331	666
5656	-22	205	881
5488	271	508	855
5340	-214	636	737
5532	90	564	850
5644	-64	176	877
5476	-170	3	609
5604	438	-177	963
5528	-232	-566	758
5372	171	-816	907
5536	98	-22	790
5588	-68	62	984
5600	200	418	860
5516	390	341	805
5516	219	687	814
5692	-260	61	888
5476	452	-167	751
5536	196	-547	974
5352	12	-474	736
5476	82	-244	856
5304	22	280	861
5636	-490	21	716
5476	154	248	711
5692	473	205	919
5516	-24	779	766
5488	133	89	939
5284	236	90	586
5632	28	-603	851
5480	4	-509	767
5420	-524	-103	846
5548	-12	-33	923
5440	-16	-205	726
5316	65	663	695
5636	-265	240	848
5540	547	366	892
5512	-148	147	978
5360	-207	-138	556
5552	547	-446	972
5528	-118	-446	702
5556	-59	-308	953
5664	-50	-203	746
5496	68	218	529
5636	-208	649	701
5536	541	610	831
5520	114	494	836
5340	-210	82	859
5476	552	-16	535
5308	-86	-412	895
5660	-156	183	709
5540	-638	-214	883
