delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5512		1318	967
5404	-102	594	801
5532	-10	293	685
5488	412	-843	844
5356	336	-772	742
5528	-415	-768	765
5552	109	-50	846
5648	-66	555	844
5480	576	326	777
5348	103	1327	883
5568	-446	320	842
5540	309	375	643
5516	-145	-1145	1085
5308	312	-480	809
5528	-554	-601	832
5380	-75	-275	945
5492	-477	484	817
5540	219	859	574
5340	334	1323	794
5572	372	5	863
5580	92	361	605
5464	21	-704	952
5300	46	-1231	826
5532	-79	-1082	971
5376	-48	50	650
5592	-185	566	842
5540	81	1098	779
5516	451	1153	791
5572	-136	410	642
5540	88	-548	736
5300	155	-704	868
5528	-331	-790	721
5380	-511	-406	893
5544	273	276	942
5524	-359	437	560
5532	512	1017	759
5396	701	746	963
5524	-245	413	425
5532	472	-1662	1049
5644	-273	-588	611
5548	-32	-781	900
5492	306	-483	812
5708	-314	132	964
5532	273	1080	673
5580	-66	1049	790
5536	710	160	750
5520	-55	76	702
5596	-14	-988	982
5672	475	-769	800
5528	-60	-695	938
5492	-379	41	795
5656	828	473	767
5512	-185	746	775
5540	-4	1054	809
5656	442	414	676
5520	-25	-695	858
5664	-207	-783	843
5544	453	-680	865
5536	-559	-242	745
5548	-41	201	925
5660	-602	855	570
5532	413	1332	697
5580	335	253	899
5512	231	-20	550
5656	111	-956	1030
5408	-370	-872	644
5376	-292	-524	982
5552	-147	245	757
5532	339	881	796
5512	-80	537	743
5308	151	731	867
5696	-284	328	645
5532	-97	-35	685
5616	86	-715	980
5472	-214	-977	688
5552	-186	-328	983
5548	-558	450	824
5360	255	838	721
5520	-715	1274	708
5588	-19	497	954
5488	250	257	666
5340	127	-793	1014
5584	77	-673	759
5480	-246	-638	924
5376	-738	-214	873
5544	192	731	867
5524	423	656	696
5684	-57	1014	784
5544	-196	400	851
5532	513	-449	587
5528	78	-937	998
5652	267	-1010	780
5588	-463	-906	895
5552	-314	199	639
5532	114	755	773
5524	290	971	691
5684	353	658	1013
5576	-224	592	685
5536	157	-433	836
5528	-66	-1185	858
5552	85	-1155	880
5528	-264	-273	859
5376	-1	590	987
5608	-164	489	565
5532	-23	1009	810
5540	255	481	936
5516	238	322	621
5696	426	-1072	1022
5464	-182	-1004	793
5612	-63	-215	886
5488	-381	-452	821
5376	-7	535	739
5600	402	783	798
5516	-3	697	859
5592	202	694	776
5520	467	-535	642
5528	46	-1325	1038
5240	-514	-1002	728
5436	-190	-566	918
5544	-99	73	715
5424	-25	498	743
5312	-221	775	703
5532	432	546	986
5340	168	440	668
5520	-150	-166	709
5548	150	-773	873
5356	-1130	-678	707
5612	403	48	953
5456	-168	275	858
5360	99	1004	698
5524	120	1215	666
5568	167	329	948
5516	359	346	587
5348	-640	-1136	957
5600	-25	-756	743
5500	138	-765	857
5528	297	-84	802
5300	-340	420	977
5536	167	706	640
5340	607	770	874
5516	-627	560	925
5540	-212	-97	625
5316	78	-716	930
5644	152	-989	823
5536	40	-624	962
5472	-64	267	706
5308	213	586	814
5696	-325	1123	740
5412	452	414	904
5344	-185	515	662
5536	-58	-185	829
5664	161	-1075	913
5592	201	-809	780
5528	-134	-254	938
5548	-142	419	810
5536	-54	580	635
5656	18	1316	719
5528	164	529	953
5512	844	196	666
5520	151	-1272	935
5412	47	-768	758
5472	-620	-923	794
5556	2	266	796
5584	341	371	720
5516	127	726	841
5348	-473	907	687
5532	969	169	891
5692	-296	-438	643
5548	-230	-428	805
5548	308	-1009	848
5588	-131	-754	1025
5604	20	343	694
5468	-54	758	736
5656	174	1104	809
5576	486	681	893
5516	-16	374	685
5480	-61	-814	943
5320	-13	-1004	777
5548	-126	-1192	886
5256	189	-54	956
5300	-196	702	942
5540	19	301	620
5288	405	1402	826
5568	-116	-11	986
5672	26	133	572
5460	-73	-1206	1043
