delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5408	26	54	789
5576	11	39	788
5584	11	41	788
5572	7	47	782
5528	8	43	804
5528	18	40	801
5576	15	40	813
5584	18	41	816
5576	27	38	797
5584	23	37	808
5576	19	36	812
5576	31	34	798
5584	21	45	788
5576	16	41	801
5580	23	40	789
5576	12	44	778
5580	18	33	811
5576	13	46	810
5584	20	43	803
5400	22	44	797
5404	21	45	791
5584	11	39	801
5576	18	39	800
5576	13	38	785
5580	19	38	818
5400	22	41	802
5404	16	52	796
5580	14	40	796
5576	19	39	791
5584	22	38	785
5576	7	45	810
5532	23	40	805
5576	28	48	789
5580	13	36	798
5580	25	39	787
5576	13	44	795
5584	28	30	783
5576	16	44	817
5408	17	37	785
5400	14	47	786
5576	15	44	774
5584	22	36	789
5576	23	41	793
5408	20	31	793
5404	14	35	793
5576	21	35	784
5584	15	38	798
5576	27	42	796
5400	16	37	797
5412	15	40	800
5572	17	34	808
5584	18	34	798
5576	11	35	792
5584	23	36	788
5404	16	42	804
5400	16	46	801
5584	9	37	799
5524	11	32	804
5576	13	40	799
5584	13	35	797
5576	20	40	793
5584	22	39	795
5576	14	43	815
5580	23	39	793
5580	23	38	798
5584	14	45	788
5400	25	35	812
5404	11	53	788
5584	7	37	795
5524	12	40	801
5576	18	46	804
5580	13	37	791
5576	19	41	795
5584	16	39	790
5576	21	30	805
5580	25	44	794
5580	16	39	781
5576	14	55	792
5408	13	46	805
5400	22	36	794
5580	11	55	801
5580	20	38	811
5576	23	41	795
5584	13	41	803
5400	17	38	791
5404	21	41	820
5580	18	42	802
5576	13	42	789
5580	15	40	797
5404	17	36	814
5404	11	46	798
5580	26	54	796
5576	14	34	783
5584	22	36	802
5404	13	42	803
5400	7	43	787
5532	18	42	806
5576	23	34	790
5576	23	40	794
5584	15	36	805
5576	27	35	795
5584	18	40	797
5576	16	40	788
5580	24	39	793
5580	20	38	805
5580	19	40	805
5404	25	41	802
5400	20	35	787
5584	11	47	795
5576	17	44	787
5584	16	40	790
5400	30	37	805
5404	22	43	791
5580	10	35	802
5580	14	45	801
5572	12	42	794
5412	25	38	813
5400	8	45	789
5528	15	51	807
5580	22	43	796
5576	13	49	813
5584	10	37	790
5572	19	51	790
5584	14	39	799
5576	16	35	791
5584	19	43	793
5576	13	36	803
5576	9	45	804
5532	27	37	805
5576	18	47	797
5584	13	42	805
5572	12	40	792
5584	27	37	794
5576	16	41	788
5576	22	35	800
5584	22	39	817
5404	25	34	795
5408	22	42	798
5576	25	40	806
5576	21	34	794
5580	12	38	793
5404	17	39	797
5404	19	45	776
5580	26	51	800
5576	21	48	791
5584	22	44	800
5572	22	50	801
5404	16	46	793
5408	22	36	804
5576	23	37	805
5584	15	44	777
5572	19	38	808
5584	24	42	805
5400	13	39	814
5400	14	44	809
5584	15	40	818
5576	15	40	796
5576	23	43	797
5584	14	49	822
5400	15	35	786
5404	18	49	798
5580	21	40	793
5576	20	49	794
5584	22	43	803
5404	15	34	801
5400	21	38	787
5584	25	46	803
5576	25	42	802
5580	18	44	795
5576	11	43	802
5404	13	43	780
5408	15	49	773
5572	17	48	796
5584	24	37	792
5576	28	43	793
5404	13	39	797
5408	24	26	769
5576	12	45	792
5580	14	51	788
5580	22	45	779
5404	12	39	814
5400	20	55	787
5584	21	39	788
5576	30	35	804
5584	22	46	779
5400	17	44	809
5404	14	37	776
5584	17	41	787
5576	21	38	798
5580	3	51	786
5528	10	36	796
5580	23	43	793
5576	24	45	784
5580	13	40	803
5580	24	39	801
5576	24	44	796
5584	24	45	796
5400	17	36	794
5404	29	39	772
5580	18	44	810
5576	18	34	797
5584	20	39	789
5576	23	35	814
5404	26	35	783
5408	23	41	786
5576	14	34	792
5584	10	46	792
5576	19	37	814
5404	21	40	793
5408	14	50	799
5576	21	31	790
5584	20	35	799
5404	17	45	815
5400	28	39	794
5584	25	40	800
5572	19	36	797
5580	22	36	793
5580	18	41	795
5404	15	34	802
5404	14	55	783
5580	12	50	790
5580	24	36	806
5580	19	46	785
5576	13	38	798
5404	20	46	800
5408	13	48	794
5576	15	42	803
5584	13	41	793
5576	9	43	805
5532	22	43	796
5576	21	49	793
5576	16	46	794
5584	21	35	797
5576	15	40	781
5584	28	42	795
5576	13	41	808
5400	10	45	788
5408	26	42	789
5576	12	39	788
5580	23	39	793
5576	19	39	792
5404	12	40	790
5408	11	43	809
5576	22	37	819
5580	18	41	797
5576	16	35	803
5580	22	41	789
5404	27	34	809
5404	15	44	807
5576	14	36	818
5580	19	30	790
5576	16	37	809
5584	15	42	802
5400	9	40	794
5352	19	42	801
5584	29	44	797
5572	19	41	790
5584	18	35	798
5576	14	37	802
5580	14	43	783
5576	15	48	800
5576	15	39	799
5584	27	38	815
5576	20	45	796
5584	23	43	800
5576	19	38	811
5408	5	46	790
5348	14	45	788
5576	13	46	802
5584	20	42	789
5576	13	41	790
5584	18	38	800
5572	20	45	813
5576	22	42	795
5584	19	48	796
5576	23	38	811
5584	20	46	794
5572	15	53	815
5404	15	41	806
5408	18	40	804
5572	21	37	816
5584	17	32	797
5576	22	55	801
5584	17	41	786
5400	640	-128	980
5356	-1032	-998	2091
5484	-1977	-1004	1375
5376	647	-1793	-1664
5480	530	-645	128
5356	-417	-1036	-145
5620	-111	483	985
5532	239	1165	729
5576	323	-423	1327
5584	235	-582	734
5528	-166	-34	773
5500	-59	633	578
5308	-92	268	967
5660	-107	-22	737
5488	111	-524	695
5528	201	-255	1024
5592	144	491	825
5688	-107	511	770
5536	-147	54	649
5476	-29	-301	780
5672	157	-213	900
5532	158	97	936
5632	8	174	783
5416	-102	122	690
5356	-72	129	755
5484	44	128	804
5292	140	1	923
5576	87	-175	863
5644	-21	-117	765
5500	-71	149	736
5656	-20	330	754
5484	76	147	840
5636	87	-127	857
5476	50	-141	829
5300	-17	46	755
5592	-50	173	758
5664	-1	93	777
5536	72	4	838
5528	86	27	853
5576	26	109	821
5644	-37	41	770
5592	-35	-33	772
5436	30	-10	793
5600	94	93	851
5576	-935	1342	-18
5552	-252	-735	907
5548	-471	50	558
5304	421	-1021	689
5588	-308	-2284	341
5604	-247	-212	244
5552	93	-1123	205
5528	436	93	1775
5696	371	-491	802
5524	-356	-174	661
5548	-167	263	706
5540	62	529	800
5636	125	-76	936
5476	106	-707	804
5356	7	-209	846
5596	-26	661	691
5484	-58	663	779
5656	5	-174	773
5600	83	-480	812
5472	115	-149	898
5528	47	407	801
5296	-61	246	758
5652	-83	-132	703
5492	25	-90	785
5596	125	223	900
5516	89	179	861
5288	-23	-149	778
5672	-70	-223	725
5492	-8	154	762
5604	67	360	849
5636	80	95	860
5580	28	-207	813
5476	-23	-104	746
5668	-13	210	780
5480	19	195	800
5644	53	-64	818
5588	37	-93	813
5416	12	140	781
5292	-7	221	761
5604	-14	9	769
5540	28	-165	794
5652	60	2	849
5520	45	224	811
5640	-4	169	777
5596	-34	-41	769
5440	3	-66	780
5360	64	70	849
5576	79	102	843
5468	21	19	774
5404	-22	2	750
5540	552	806	891
5520	654	398	803
5512	1559	529	-912
5240	-444	319	1646
5412	-170	-1419	181
5436	-254	-241	1071
5252	300	935	654
5344	88	651	1055
5516	-41	-220	701
5672	-117	-537	687
5548	40	84	841
5580	130	466	824
5512	32	28	877
5584	5	-381	724
5596	-12	8	788
5544	32	510	784
5636	35	289	837
5460	20	-333	806
5308	22	-410	808
5644	24	151	818
5464	24	493	790
5292	4	156	782
5588	-6	-246	765
5608	27	-118	800
5472	62	235	848
5288	39	172	824
5640	-9	-150	770
