delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5400	2	45	799
5532	10	36	822
5576	9	44	785
5524	12	45	785
5580	1	47	803
5524	17	41	792
5584	14	45	814
5576	13	50	793
5584	6	51	798
5524	10	42	797
5576	10	45	795
5584	5	47	819
5524	14	38	795
5580	6	48	808
5524	7	41	814
5352	5	46	804
5532	11	41	794
5576	12	42	798
5580	2	51	794
5528	7	42	795
5524	13	42	797
5580	6	53	807
5524	15	47	797
5412	15	43	791
5576	4	47	796
5524	15	46	798
5584	15	36	775
5576	8	39	802
5532	2	35	805
5524	5	48	795
5532	17	49	792
5576	10	40	800
5576	11	33	805
5580	16	33	792
5580	5	55	787
5532	14	44	807
5572	12	40	788
5584	5	41	815
5524	9	56	795
5528	8	51	807
5356	11	47	799
5576	8	40	810
5524	8	43	791
5532	2	37	795
5352	10	39	796
5580	4	56	783
5524	3	49	795
5528	17	44	794
5580	16	43	791
5576	10	43	800
5584	13	50	786
5576	8	47	802
5532	11	32	792
5572	9	38	798
5528	8	42	789
5532	7	51	800
5348	8	44	811
5524	3	44	799
5532	12	46	790
5404	12	51	791
5404	13	49	810
5408	-3	44	797
5540	8	46	798
5524	14	31	805
5580	4	44	801
5524	11	43	790
5584	7	53	801
5524	9	58	798
5352	10	60	794
5584	4	72	804
5524	15	46	801
5580	11	22	817
5576	9	20	796
5528	2	46	785
5528	13	46	807
5576	6	29	802
5528	0	24	793
5352	13	38	799
5576	3	53	792
5532	15	52	802
5576	7	58	812
5528	8	53	793
5528	18	37	795
5400	14	37	808
5580	20	49	786
5404	15	48	810
5400	12	54	789
5580	-11	19	796
5424	-37	5	802
5364	-38	62	770
5600	-32	101	742
5480	3	17	864
5528	44	0	798
5696	59	82	802
5400	61	113	813
5296	71	57	788
5576	41	28	841
5576	16	38	804
5584	-10	31	780
5592	-19	25	806
5604	-13	15	774
5592	2	27	811
5532	18	35	777
5576	27	2	831
5528	24	22	817
5576	14	80	789
5576	2	92	790
5532	-3	84	785
5536	-3	64	800
5544	0	51	796
5352	0	62	792
5524	8	61	817
5532	25	51	802
5576	25	13	819
5584	36	3	819
5520	50	18	806
5400	46	43	794
5404	46	61	812
5408	28	54	793
5576	24	35	807
5404	2	39	795
5356	4	52	783
5524	0	51	807
5532	4	47	783
5352	15	35	798
5576	14	53	799
5584	30	47	795
5572	35	49	818
5584	24	61	805
5576	26	65	787
5404	-1	68	813
5372	-7	63	796
5536	-22	40	781
5596	-47	36	801
5600	-49	32	792
5424	-45	16	794
5248	-20	30	792
5424	-12	50	784
5424	0	58	802
5348	29	43	802
5584	49	65	801
5576	55	89	810
5576	61	91	809
5584	48	69	809
5400	32	56	817
5404	19	34	793
5580	3	19	795
5528	-5	30	784
5544	-16	17	774
5596	-18	19	790
5600	-16	32	783
5420	-6	49	785
5364	11	47	794
5584	28	55	808
5572	26	62	815
5584	45	64	813
5400	38	84	802
5404	37	61	806
5580	4	48	805
5524	2	35	790
5528	-20	51	799
5600	-32	58	793
5592	-33	54	797
5428	-35	40	813
5424	-15	44	792
5420	2	52	802
5352	20	68	813
5580	38	71	809
5576	45	70	812
5580	50	65	804
5576	30	62	808
5404	12	54	796
5408	2	45	792
5524	13	35	759
5584	33	21	827
5576	57	21	796
5576	64	59	805
5584	78	78	834
5576	78	39	802
5408	55	15	825
5400	12	37	813
5576	-20	34	760
5428	-47	26	812
5248	-61	40	792
5248	-69	59	762
5420	-51	51	795
5420	-44	8	761
5372	-4	1	785
5480	4	16	815
5524	28	56	787
5408	46	62	798
5580	60	55	812
5400	58	47	826
5408	60	57	798
5576	36	47	794
5404	22	62	787
5408	1	60	794
5528	-7	54	791
5544	-15	32	781
5596	-21	18	799
5596	-18	31	795
5428	-9	35	799
5364	1	47	783
5524	10	39	801
5584	14	37	804
5576	30	43	791
5584	37	50	820
5576	36	55	807
5580	26	61	812
5576	26	58	789
5404	17	44	799
5408	4	42	802
