delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5640	-304	-1180	466
5608	732	1210	871
5572	126	2261	-1277
5468	-85	513	1398
5544	154	-1932	1839
5292	327	-1209	339
5584	629	856	214
5520	-494	2456	-1732
5312	442	-245	32
5644	-64	-192	1296
5552	39	-1904	931
5528	182	784	587
5524	802	1821	-687
5408	-336	117	143
5532	-1216	-1430	1116
5548	-625	-2185	1346
5484	866	389	-1846
5412	336	1835	-1017
5472	-176	-61	1668
5548	-633	-790	802
5376	139	-2068	1814
5472	875	778	-167
5700	1030	1806	-1031
5532	-23	202	304
5480	-252	-443	711
5372	-41	-1003	2278
5612	527	1077	-150
5408	-367	2168	8
5304	146	1311	323
5576	-403	-13	450
5664	-52	-1796	2795
5436	-278	919	-1243
5432	-950	1860	-25
5548	512	402	-2034
5592	-457	765	352
5532	14	-1563	3102
5592	294	1240	-393
5584	354	1781	141
5572	-279	1165	-166
5436	841	-609	431
5352	-382	-883	3050
5604	-1195	843	-826
5608	207	1340	468
5572	-223	-18	-267
5508	-1641	58	400
5532	85	-2612	3598
5592	439	747	192
5516	-48	1928	247
5360	915	596	-485
5536	-433	-94	309
5664	-511	-2261	3784
5492	-208	83	-2275
5548	958	1912	556
5572	-405	453	-540
5552	-1107	-808	415
5604	306	-2270	3684
5648	-1729	483	-2274
5484	535	1546	1623
5632	-654	658	-705
5548	-1608	-273	379
5608	236	-2420	3678
5468	227	165	-1262
5408	1036	1401	557
5460	-799	190	-939
5548	562	536	187
5340	-312	-2522	3719
5496	812	848	-1284
5408	1722	1253	-111
5464	723	617	-60
5656	-1123	903	239
5584	-484	-2688	3751
5488	219	-545	-782
5548	118	1166	2084
5628	563	1334	-1091
5644	-1534	489	143
5416	945	-2673	3728
5292	-1186	-303	-676
5624	429	116	1332
5572	486	1060	-1249
5644	-1592	792	595
5592	361	-2640	3626
5472	-406	-198	-353
5560	785	1147	-666
5592	340	1172	-1238
5640	-152	153	485
5532	244	-2053	3558
5648	-975	-889	-1260
5440	105	1164	1455
5632	-690	762	-1332
5604	979	195	400
5520	451	-2623	3658
5640	-854	-112	-116
5568	1777	1247	128
5452	1117	1590	-2148
5348	-1371	767	184
5596	-315	-2890	3417
5484	-269	-46	-489
5332	1604	695	670
5576	194	1636	-683
5584	-627	285	628
5536	-16	-2339	3211
5608	185	-432	-622
5544	723	861	623
5520	509	1318	-343
5412	-503	195	648
5532	-1189	-1107	2720
5548	907	-1269	-594
5600	-588	450	701
5540	-125	1268	-1584
5484	576	1363	1082
5280	889	-3311	2823
5292	162	-803	-521
5548	1120	680	2263
5280	451	2570	-696
5584	136	-180	-415
5548	320	-1554	1743
5292	-123	-742	224
5548	-124	1035	-815
5260	767	840	-479
5356	642	377	-522
5528	-66	-1496	1159
5608	181	-1952	1589
5640	970	485	-764
5532	1218	3028	-967
5468	-420	239	224
5360	146	-464	915
5536	-243	-1830	2148
5660	508	659	-334
5528	215	1905	-1000
5472	975	859	-639
5356	-967	-470	556
5548	-320	-2663	2677
5488	590	1416	1872
5280	-200	550	-944
5376	-424	-27	944
5496	-1153	-489	330
5604	1066	-1580	3402
5520	604	75	-919
5656	265	1599	1524
5452	309	344	-479
5360	-475	343	368
5536	115	-2806	3869
5640	-292	161	145
5536	1104	1557	-328
5644	363	564	1188
5576	-952	892	262
5532	523	-2703	3851
5476	22	36	-1228
5296	-90	1374	907
5540	-353	690	-1191
5256	181	945	299
5344	52	-2426	3294
5584	27	17	-660
5592	655	732	-547
5536	76	1345	-1451
5588	-287	123	794
5536	-1072	-2744	2910
5544	-1069	134	-743
5608	465	585	587
5516	1349	1775	-1577
5348	602	37	921
5640	167	-2303	2499
5468	1013	-2206	-378
5660	-5	589	972
5596	77	2524	-1471
5416	-403	373	137
5364	-1146	-2294	2388
5544	354	-977	-95
5484	-46	346	-1642
5384	495	2959	-985
5584	-1541	904	797
5592	-583	-249	1491
5436	-975	-986	360
5372	1000	796	-74
5532	0	1987	-1505
5540	-466	-359	2102
5604	-126	-1116	1315
5668	865	-2082	1094
5464	223	1196	785
5576	-603	2410	-1820
5660	-30	454	-812
5500	615	-1820	1215
5644	-9	-1623	1051
5544	363	654	-102
5536	1065	2807	-948
5640	1128	-499	356
5588	293	143	909
5516	-370	-1624	1442
5492	-436	825	1198
5240	587	847	-1931
5412	-1903	329	446
5588	-176	-506	423
5552	829	-1239	2490
5468	309	328	754
5696	583	1480	-983
5580	123	-4	337
5424	-937	-946	337
5376	-309	-1982	2539
5484	503	760	1655
5576	804	2041	-918
5584	737	-161	1008
5588	-714	-390	432
5552	588	-1501	3327
5644	270	854	197
5516	18	1436	456
5520	-696	160	-1372
5256	-887	-229	443
5380	221	-2069	3663
5464	-539	-403	-1413
5268	1243	1410	990
5280	34	971	-1163
5360	110	794	402
5520	-639	-2740	3118
5660	-145	-730	-608
5564	1114	680	-351
5588	-2	1899	-1528
5556	1662	1066	799
5456	50	-2384	2883
5408	379	-440	-665
5552	729	209	-944
5528	592	1813	-164
5592	-1260	32	1196
5588	-903	-2485	2353
5488	-1108	-690	-352
5620	272	561	-949
5532	103	2564	-1526
5644	-364	787	334
5532	427	-2470	2093
5648	36	-524	-210
5484	1374	708	1237
5632	738	2166	-656
5588	-750	600	342
5532	589	-1436	2015
5648	-366	-1470	-47
5560	1029	257	-1542
5472	-674	3128	-1104
5660	-440	-413	-345
5568	-435	-587	1863
5600	756	-1078	162
5592	-78	95	-411
5436	-484	2549	-1534
5660	1223	-122	883
5588	-59	-1998	1611
5604	-225	-1027	296
5432	727	1119	-174
5240	518	2508	-1408
5292	332	203	342
5340	-396	-75	935
5500	-90	-833	1733
5372	381	916	-345
5528	-162	1949	-1186
5492	1169	225	1406
5276	-1004	-89	313
5372	197	-1847	3002
5468	382	1491	276
5576	823	578	371
5344	1377	-136	830
5584	-999	279	385
5540	594	-2904	3719
5640	215	-114	-465
5548	807	1956	1546
5452	170	75	-1743
5356	-737	628	257
5540	-369	-2739	3744
5656	-840	-236	-626
5568	-116	549	108
5532	-280	993	-996
5556	-1238	472	183
5588	275	-2943	3609
5644	196	598	-904
5532	-982	315	1239
5592	60	558	-936
5484	-196	1102	493
5588	-46	-2560	3578
5608	75	27	-217
5588	205	798	-639
5532	-248	1156	-1363
5664	-947	1293	681
5416	-879	-2018	3341
5316	-856	-237	-487
5560	39	832	795
5636	-232	1725	-681
5612	-531	290	943
5532	-63	-1442	2735
5608	156	-1073	-554
5600	289	561	-188
5536	181	1610	-822
5584	193	349	45
5456	135	-1568	2292
5300	113	-224	-548
5544	836	537	1237
5396	1088	1826	-1536
5532	-351	98	548
5476	625	-2066	1694
5292	-206	-1386	224
5608	1612	1048	-717
5640	1214	2448	-1643
5528	-597	218	-104
5548	-1311	-1141	1238
5544	-330	-1536	801
5608	789	750	556
5516	151	2481	-1821
5648	664	-60	1192
5528	-544	-256	1131
5608	-334	-1294	1039
5484	1090	1235	1030
5336	1451	2355	-1097
5528	-499	243	505
5360	253	-649	592
5528	-348	-2003	2379
5664	1002	572	857
5572	919	1150	-1019
5472	1665	490	1401
5628	-989	-1366	366
5608	-618	-2356	2484
5488	656	-98	954
5644	779	2305	-959
5592	-1106	361	153
5416	-10	-421	542
5316	-178	-2097	2998
5664	-28	746	172
5480	20	1453	403
5524	527	142	-336
5356	-2015	-97	399
5548	210	-2202	3607
5648	475	249	-724
5528	639	1815	592
5576	-210	215	-2741
5604	-1368	134	109
5596	-244	-3425	3691
5484	720	-158	-1031
5600	381	1118	-7
5652	-167	794	-1840
5428	-1380	1330	187
5652	241	-1716	3646
5640	-220	142	-486
5552	-826	688	1028
5588	1188	1481	7
5520	-110	711	462
5536	-1058	-2249	3457
5540	250	-168	21
5652	-188	1100	114
5588	199	1331	-69
5536	340	503	647
5512	71	-2218	3200
5240	-292	207	-403
5376	523	224	861
5516	317	1876	-953
5584	-553	751	958
5544	339	-2567	2404
5640	-166	-876	-479
5568	128	680	-1179
5584	55	1199	-2044
5596	-396	218	88
5476	-1207	-2180	2366
5540	769	-515	-295
5376	-246	726	-1815
5604	1524	2152	-857
5468	-354	306	496
5540	812	-860	1629
5408	-808	-1387	199
5432	668	1045	1250
5284	684	2023	-1542
5292	-163	664	-541
5548	-1168	-615	598
5256	639	-1531	1759
5296	893	675	1935
5576	475	1638	-153
5584	682	806	1201
5576	-296	-114	217
5548	-535	-1967	2918
5664	69	837	1671
5520	507	1913	133
5576	270	400	-1147
5584	-988	-64	482
5492	670	-840	3291
5416	1274	371	1171
5452	138	1817	1406
5632	38	299	282
5636	533	-193	400
5528	69	-2807	3645
5592	-551	212	-1021
5604	1380	880	-1304
5472	-788	343	-1824
5604	-1395	1227	130
5476	485	-2257	3677
5292	22	-170	-1362
5368	-356	1338	1096
5468	1423	1188	-2290
5704	-1261	-207	669
5432	309	-2952	3373
5292	21	-797	-544
5668	1624	563	-92
5528	88	2459	-2965
5596	-325	1202	53
5532	-1370	-2470	2642
5548	-709	-1139	-431
5616	990	398	892
5516	1229	1999	-1930
5704	-1034	592	1148
5472	-735	-3034	2293
5664	-230	-1041	-258
5440	353	516	-1782
5412	287	2352	-761
5416	181	284	473
5344	-1045	-2313	1615
5540	-539	-1421	568
5608	1042	750	1267
5628	340	2420	-1579
5472	-1691	332	838
5588	372	-623	1223
5592	234	-1669	884
5584	-222	1020	1716
5652	541	2941	-1824
5468	-361	-1420	-1622
5672	122	-537	1004
5592	148	-1567	1227
5468	546	1127	135
5572	-455	1850	-979
5604	-715	-545	1606
5608	-357	-1597	944
5604	-1436	-2300	1499
5548	-500	285	585
5532	503	2074	-52
5532	106	-158	1481
5588	-348	-652	464
5548	-28	-1786	1871
5608	1646	734	1818
5624	1009	2618	-1946
5528	55	-24	-630
5604	-593	-511	321
5556	-988	-2165	2481
5484	1620	294	1037
5280	-118	1898	94
5360	104	-107	1005
5588	-1122	-423	376
5604	-20	-1843	3665
5428	1153	-672	924
5420	-125	1154	-472
5428	191	857	-1869
5236	-942	180	377
5360	-666	-2380	3591
5492	261	-198	-483
5368	247	316	-327
5528	745	1511	-1689
5648	-82	124	913
5480	498	-1280	2601
5644	-359	-701	-524
5564	742	893	-1083
5588	-24	2028	-2182
5608	-143	172	133
5540	543	-1904	2344
5464	40	-1326	-286
5368	-801	513	1109
5596	-686	2480	-1244
5488	666	450	1826
5568	-860	-1912	1553
5668	71	-1271	453
5528	138	239	2266
5576	-33	2734	-1675
5608	-578	415	1122
5596	518	-1733	1017
5464	-785	-1975	950
5612	187	1014	2042
5624	694	2311	-717
5592	530	231	2300
5572	-1561	-481	908
5428	-134	-1873	1772
5312	1201	1256	1514
5516	256	2386	-2039
5296	-1013	281	-754
5600	-418	-462	434
5552	29	-2172	2908
5588	479	-18	2453
5536	130	1969	-1748
5292	523	867	-281
5528	113	128	203
5348	1210	-3021	3638
5524	-198	-475	263
5544	2174	904	376
5404	-357	1057	-2033
5488	550	1578	639
5572	-433	-1284	3124
5664	654	-1310	-89
5544	389	12	736
5464	242	1833	-851
5412	-1059	1111	1129
5528	1230	-2472	2000
5528	579	-1058	75
5528	41	1398	1149
5400	-156	2371	-997
5436	-412	459	848
5360	-38	-757	1126
5548	-69	-1977	1063
5608	496	-95	2477
5528	933	2362	-830
5592	272	-51	1345
5528	-1248	-244	358
5612	80	-1750	2244
5584	1394	432	808
5576	1387	1585	-730
5640	190	-35	-916
5488	-548	-403	416
5552	-874	-2148	2669
5660	-49	605	2513
5544	320	885	-759
5528	-20	147	-219
5676	28	-31	215
5588	300	-3183	3474
5476	-172	43	969
5652	590	1061	-2064
5464	-83	677	321
5660	-688	1540	140
5592	393	-1928	3206
5472	87	419	7
5696	673	993	1504
5580	178	1380	-2143
5468	-257	953	821
5532	-591	-1108	2775
5320	607	-1334	-300
5596	364	636	212
5524	378	1803	-280
5580	-1308	435	1439
5648	-191	-1919	1401
5492	-291	-1549	245
5600	1116	998	2255
5636	-837	2379	-1641
5484	-165	-84	187
5668	-262	-1074	1154
5488	499	-2065	936
5592	1064	482	2591
5624	891	2138	-1946
5468	1965	474	595
5404	-1668	-892	355
5428	488	-2292	2619
5292	225	494	2130
5576	120	1515	-570
5584	691	445	-402
5532	942	346	518
5344	-795	-2566	3301
5488	-369	-661	-241
5384	584	713	1566
5580	-57	2016	-1762
5604	782	693	1288
5576	-1047	-1792	2221
5544	43	-1176	19
5472	-46	915	293
5660	-661	2790	-1324
5488	-1039	294	809
5592	418	-1466	1277
5644	-436	-1770	787
5608	-278	177	2410
5416	112	994	-2028
5412	1291	561	536
5576	-407	-537	353
5544	508	-1914	2501
5472	-218	221	2620
5244	726	1280	-715
5412	-1044	1395	-652
5484	73	799	7
5532	-524	-2762	3286
5312	-332	-525	348
5548	-14	222	-285
5672	925	2170	-2102
5468	-515	176	1039
5596	-114	-2050	2401
5660	161	-1207	478
5588	-1409	713	398
5416	114	2171	-1843
5296	133	792	2124
5568	16	-670	788
5656	169	-2663	1766
5464	410	1397	761
5404	42	1765	-894
5532	-558	946	-3
5612	-905	68	-73
5440	-36	-3131	3091
5428	423	-477	1443
5412	165	293	108
5348	-401	1570	885
5588	1324	1165	788
