delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5576	28	18	793
5584	24	16	796
5576	23	11	808
5580	22	17	812
5576	21	19	796
5584	19	14	800
5576	21	11	796
5576	19	19	786
5584	20	18	805
5576	16	15	809
5580	9	9	785
5468	16	14	793
5404	16	29	786
5584	9	33	806
5520	6	22	783
5532	5	20	787
5700	11	38	792
5400	3	34	786
5360	16	31	791
5572	3	34	802
5532	4	38	794
5700	3	28	799
5532	1	28	799
5524	7	31	816
5524	3	38	800
5356	16	38	788
5576	9	32	785
5528	11	37	798
5580	14	39	783
5576	18	23	784
5584	11	19	781
5576	27	20	793
5584	23	26	779
5572	27	32	782
5584	21	28	777
5576	26	18	798
5576	14	23	795
5584	20	10	786
5576	20	16	809
5584	18	22	796
5576	26	14	802
5584	18	16	789
5576	26	23	794
5580	24	18	793
5576	20	15	807
5576	9	23	797
5532	18	23	813
5576	8	30	800
5532	9	34	790
5352	14	29	783
5576	11	26	788
5584	13	20	786
5576	9	35	782
5528	8	34	797
5528	13	27	798
5400	15	25	796
5584	6	25	805
5524	11	31	797
5580	14	30	798
5576	12	34	788
5584	7	37	784
5524	17	32	794
5576	19	25	798
5584	12	27	814
5576	10	21	800
5584	16	29	794
5576	18	28	789
5584	22	13	788
5572	24	22	791
5584	26	24	802
5576	26	14	803
5576	17	23	808
5584	23	18	804
5576	25	20	790
5580	13	17	782
5576	26	16	790
5584	21	18	794
5576	24	18	795
5584	24	24	806
5576	21	22	811
5576	12	20	811
5580	4	21	804
5524	16	30	792
5584	10	33	781
5576	11	23	801
5580	9	18	796
5524	7	22	790
5708	6	33	803
5524	20	29	802
5572	5	29	786
5532	4	29	795
5528	5	31	795
5352	4	35	777
5528	15	43	791
5576	2	25	795
5532	3	27	803
5352	10	17	795
5576	12	31	793
5584	7	23	798
5524	14	28	782
5584	18	38	792
5576	23	27	785
5584	14	28	793
5572	26	26	801
5576	25	30	794
5584	18	31	810
5576	16	21	794
5584	22	14	784
5576	19	25	795
5584	26	18	796
5576	24	21	800
5580	17	24	810
5576	13	28	795
