delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5576			
5532	12	34	799
5576	17	29	790
5580	12	35	799
5580	13	38	789
5580	11	34	787
5580	16	34	778
5576	7	30	797
5532	6	24	804
5520	9	24	774
5704	16	24	801
5576	7	29	798
5532	11	27	801
5576	10	28	794
5584	12	30	799
5576	3	31	801
5524	20	29	803
5584	12	33	799
5576	16	29	784
5584	13	31	801
5576	17	29	795
5580	15	24	792
5580	17	27	803
5580	19	30	815
5576	17	20	798
5576	12	29	799
5584	21	25	807
5576	20	24	793
5584	26	31	794
5576	14	41	784
5408	3	36	802
5348	14	28	791
5576	7	34	788
5532	11	29	796
5576	11	27	806
5576	9	31	806
5532	12	28	804
5400	17	26	791
5584	17	25	787
5576	16	24	803
5576	19	29	799
5584	20	28	801
5576	12	27	795
5408	10	28	774
5400	17	27	784
5576	13	28	800
5580	11	29	800
5576	19	21	792
5584	16	35	775
5576	10	30	796
5404	16	25	814
5408	6	27	795
5524	16	31	824
5584	9	29	797
5524	8	30	779
5524	13	32	800
5408	16	36	787
5576	17	29	792
5584	16	30	800
5576	19	28	800
5576	21	34	792
5584	4	29	795
5524	15	28	785
5584	14	32	796
5576	17	24	793
5584	10	38	800
5576	12	33	800
5580	6	34	790
5524	0	35	784
5528	19	25	804
5580	14	30	792
5576	9	32	798
5532	12	27	798
5404	15	30	802
5576	13	40	795
5408	20	25	784
5404	5	32	786
5524	10	28	816
5584	17	23	800
5572	12	40	801
5580	14	25	806
5576	17	26	789
5584	9	32	810
5524	18	34	782
5576	9	19	802
5532	15	41	787
5400	12	31	802
5404	14	34	777
5408	20	42	784
5576	6	35	800
5524	15	30	812
5584	5	26	782
5524	3	39	806
5532	6	30	785
5348	14	24	812
5576	14	26	809
5584	16	29	803
5576	15	34	796
5584	12	39	780
5572	23	27	808
5584	13	29	811
5576	12	24	790
5584	13	27	810
5576	16	34	817
5576	11	33	791
5584	13	24	785
5576	22	29	797
5580	17	36	791
5404	18	25	777
5404	12	27	792
5580	12	39	797
5576	8	29	798
5532	14	35	780
5576	17	27	803
5580	13	36	787
5580	18	28	782
5576	16	35	794
5580	14	29	793
5580	17	27	792
5580	15	39	798
5576	11	29	799
5584	-88	9	769
5536	116	-286	-661
5544	-1248	-122	770
5608	340	70	959
5460	-121	83	839
5304	20	-38	743
5596	54	26	828
5576	37	71	832
5580	18	75	737
5576	-14	-13	785
5616	0	14	764
5524	15	47	797
5580	36	79	828
5580	38	29	797
5576	-8	-3	801
5500	-7	37	767
5364	3	55	779
5524	34	38	820
5584	43	-5	825
5536	15	27	813
5580	4	64	786
5700	-4	34	791
5544	14	-6	808
5536	37	24	805
5580	25	62	808
5576	13	48	793
5584	-4	11	782
5540	9	26	774
5524	21	69	813
5584	39	43	804
5576	19	13	796
5580	7	24	767
5524	-1	54	779
5368	21	46	815
5580	34	28	810
5572	18	11	805
5584	2	40	791
5524	1	55	775
5524	8	20	792
5704	26	13	803
5404	31	31	827
5408	16	43	780
5576	-2	27	795
5540	1	18	788
5532	17	23	800
5576	33	56	808
5580	31	28	781
5576	14	9	792
5528	4	18	775
5700	560	-14	1140
5536	799	44	-1047
5528	-620	253	1090
5588	-38	131	479
5488	42	19	843
5400	7	38	739
5524	-10	0	775
5548	33	59	809
5576	83	45	850
5580	25	16	832
5576	-13	1	746
5544	-22	46	781
5596	19	70	791
5584	63	44	818
5576	44	0	835
5520	7	22	778
5704	-29	41	754
5420	6	26	784
5352	51	18	822
5580	56	41	819
5576	28	48	807
5584	-6	22	762
5536	-6	9	765
5660	11	25	803
5572	52	57	814
5404	34	60	813
5408	7	20	771
5528	-26	9	758
5544	-1	42	781
5540	38	48	825
5576	50	37	819
5580	20	25	811
5576	-12	33	784
5600	-16	43	772
5596	27	22	797
5580	48	18	822
5576	37	39	808
5584	5	46	790
5524	-18	35	769
5592	0	11	779
5532	33	27	816
5576	49	47	818
5584	7	33	801
5524	-8	11	766
5364	-4	31	790
5544	15	53	788
5576	-384	18	297
5656	-1806	-175	-2271
5500	-202	66	1193
5540	-510	164	550
5532	-111	-20	934
5320	61	-126	663
5652	58	-61	959
5592	106	214	768
5512	19	140	803
5468	-39	-118	774
5320	-29	-111	720
5668	-5	131	811
5596	66	206	822
5464	78	10	825
5580	-6	-129	788
5608	-34	55	749
5600	-12	185	767
5480	40	32	816
5580	78	-93	844
5592	31	18	812
5576	-16	175	762
5660	-38	60	776
5424	16	-110	803
5296	63	-16	850
5596	56	156	826
5636	2	112	804
5592	-37	-46	768
5436	-19	-52	764
5260	45	105	833
5288	73	130	832
5296	39	-8	828
5536	-14	-64	773
5260	-34	59	747
5424	-5	154	791
5424	58	49	827
5400	55	-68	844
5416	20	-17	804
5424	-28	113	769
5480	-15	85	761
5596	18	-24	800
5596	67	-19	828
5588	44	90	822
5584	-2	92	761
5540	-26	-29	756
5616	8	-27	791
5532	53	81	821
5584	57	106	830
5460	8	4	814
5292	-3048	957	448
5240	-311	-1186	-1886
5328	300	13	1432
5520	-551	575	212
5360	-172	-139	852
5544	18	28	744
5584	22	-43	871
5588	73	209	832
5472	135	205	864
5336	6	-93	828
5536	-24	-227	771
5672	-13	120	748
5480	36	203	833
5640	51	43	847
5576	95	-107	833
5480	-54	4	772
5364	9	168	751
5584	0	64	773
5532	39	-101	820
5648	69	-20	841
5416	29	206	801
5292	-40	90	763
5248	-24	-97	765
5260	19	-94	799
5416	76	91	845
5404	58	173	826
5296	5	26	779
5348	-30	-75	749
5608	-8	35	786
5544	47	144	809
5464	71	32	839
5400	40	-75	804
5596	-29	-1	779
5556	-34	146	754
5488	12	92	785
5572	55	-54	822
5592	51	-44	824
5596	24	108	788
5636	-38	96	778
5428	-13	-7	780
5380	32	-20	806
5588	64	73	831
5584	44	104	798
5464	-23	-3	777
5560	-31	-55	771
5260	11	62	785
5400	-456	-43	120
5492	-105	284	1115
5592	-2600	-699	-1041
5500	515	143	958
5696	-368	415	703
5532	-60	72	806
5600	-181	-179	502
5548	-37	-17	817
5612	110	337	799
5516	35	92	865
5576	-7	-181	762
5616	-37	-173	761
5492	16	237	832
5640	112	226	859
5516	20	-76	848
5596	27	-152	795
5644	-66	116	748
5488	19	178	781
5636	54	-31	823
5592	60	-149	852
5476	33	121	795
5640	-37	223	778
5484	-27	19	764
5592	40	-164	798
5656	65	-1	835
5532	63	218	845
5644	-17	86	772
5420	-37	-105	769
5316	-7	-35	789
5548	48	159	833
5644	66	101	850
5460	24	-84	794
5424	-34	-60	760
5436	-27	133	778
5308	29	169	801
5640	60	-14	836
5588	56	-108	825
5472	-4	49	778
5552	-32	170	762
5308	-18	36	783
5600	33	-76	821
5588	69	29	851
5580	24	137	792
5468	-11	42	769
5420	-23	-72	770
5436	-1234	-499	-186
5620	1453	-417	-804
5600	788	195	1333
5576	234	208	848
5516	30	-175	903
5652	15	-109	586
5472	-14	12	869
5244	146	209	906
5340	80	101	822
5644	-20	-4	796
5552	-77	-124	757
5500	-3	86	762
5536	78	158	840
5288	58	-4	829
5540	52	-38	849
5416	9	68	739
5524	-68	110	742
5488	-22	14	804
5248	114	-60	854
5296	74	38	862
5576	9	146	806
5592	-63	102	744
5656	-40	-69	760
5440	55	-11	819
5416	82	81	857
5576	48	114	815
5468	-33	6	765
5536	-38	-18	739
5264	-13	64	786
5248	79	101	852
5292	92	11	843
5576	32	-43	802
5596	-31	46	765
5596	-45	112	771
5660	31	59	805
5576	69	-26	848
5416	48	-3	820
5364	-1	89	780
5544	-47	58	765
5596	-12	1	765
5544	49	18	835
5576	71	70	856
5580	24	55	795
5580	-31	-14	752
5616	-33	-9	772
5552	29	79	803
5576	-590	355	353
5540	-36	-323	456
5492	-1029	-1104	-841
5324	-360	377	836
5540	-366	171	611
5360	-58	-136	834
5488	107	-211	694
5536	67	110	885
5288	49	197	836
5288	33	135	797
5644	-40	-240	765
5488	4	-67	724
5536	9	143	833
5416	70	223	816
5464	71	-7	833
5540	20	-111	775
5300	-77	44	766
5592	10	180	800
5644	90	25	807
5576	34	-123	845
5472	38	49	787
5584	-24	231	762
5652	-37	33	770
5600	39	-131	777
5472	61	-39	836
5596	58	176	833
5640	0	134	786
5588	-52	-70	749
5436	15	-39	770
5244	44	121	822
5288	73	116	834
5288	35	-45	810
5596	-24	-76	765
5608	-21	98	756
5600	13	174	794
5464	57	-2	839
5360	53	-93	833
5596	16	11	788
5576	-33	139	769
5488	-8	62	778
5540	37	-53	813
5244	49	8	836
5344	37	113	817
5640	-8	73	782
5540	-17	-54	771
5616	7	-18	798
5536	-1110	542	421
5592	-589	-82	-1159
5564	562	-962	392
5532	391	207	591
5516	-310	289	932
5536	-1	-244	518
5436	-50	109	778
5484	45	-71	952
5588	97	200	771
5644	35	38	846
5576	-84	-144	727
5496	6	-13	776
5536	17	148	819
5644	71	128	829
5460	83	-7	843
5360	-53	-61	774
5616	-29	83	756
5592	29	113	781
5472	36	-26	815
5588	80	-44	867
5592	23	119	803
5640	-47	119	772
5484	-13	7	764
5544	15	-87	817
5588	84	45	844
5584	57	140	833
5636	-32	39	758
5600	-26	-29	747
5436	-21	7	776
5364	84	109	843
5460	82	62	848
5408	22	-44	813
5588	-41	-7	758
5560	-30	97	768
5596	21	105	784
