delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5576	10	28	790
5584	6	36	802
5524	7	35	809
5352	12	37	809
5580	11	26	798
5576	11	24	803
5580	11	27	803
5576	17	28	792
5584	15	36	798
5576	15	38	798
5584	17	26	788
5576	16	34	802
5576	22	30	795
5584	19	29	787
5576	8	39	802
5532	15	27	778
5576	12	28	789
5580	12	33	803
5576	14	27	799
5580	11	31	783
5580	20	28	779
5580	9	25	811
5528	10	27	797
5576	21	38	790
5584	19	28	790
5572	12	38	796
5584	9	29	806
5524	11	30	798
5576	18	26	798
5584	9	27	779
5524	17	35	790
5584	6	33	798
5524	9	24	804
5704	10	32	779
5572	16	30	802
5404	17	27	801
5408	18	33	789
5572	19	26	790
5584	14	27	794
5576	17	29	787
5404	11	30	801
5408	7	23	798
5524	11	33	807
5576	9	32	798
5532	15	27	803
5576	10	30	792
5584	19	29	800
5572	10	36	788
5584	9	31	788
5524	14	41	779
5576	6	33	794
5704	15	26	804
5404	11	29	791
5408	16	45	802
5576	1	38	794
5524	11	40	788
5584	22	35	791
5576	10	35	796
5584	7	38	806
5524	11	28	805
5580	7	38	790
5528	20	29	795
5576	10	24	789
5580	4	40	796
5524	10	29	796
5412	10	33	798
5576	17	36	792
5576	14	35	799
5408	4	33	790
5352	14	28	791
5576	7	29	825
5532	20	26	787
5576	6	31	804
5528	8	36	791
5352	12	28	785
5576	21	26	796
5584	9	26	797
5524	13	30	808
5584	21	37	796
5576	17	33	786
5584	5	33	793
5524	8	22	789
5524	8	29	801
5360	3	33	787
5524	11	33	791
5576	3	32	773
5532	17	29	788
5400	15	37	796
5584	18	27	780
5576	19	26	785
5404	10	28	796
5408	13	20	798
5576	12	22	801
5576	11	29	794
5584	7	21	790
5524	15	32	802
5584	23	25	796
5576	18	33	796
5584	9	31	805
5520	9	26	789
5524	11	37	789
5584	10	36	783
5576	7	33	788
5528	15	33	795
5404	10	27	795
5576	18	29	819
5580	8	38	796
5528	18	28	801
5580	19	35	774
5576	11	28	791
5584	8	25	802
5524	10	30	806
5576	17	33	793
5580	9	36	786
5524	18	21	795
5584	16	36	783
5576	6	23	799
5532	18	29	795
5576	15	28	795
5584	9	32	812
5524	9	22	794
5352	15	35	794
5580	16	31	784
5580	9	32	794
5524	12	29	793
5580	13	27	800
5576	12	31	792
5584	10	25	802
5576	16	32	789
5584	9	29	806
5524	14	31	815
5580	19	25	798
5576	22	27	794
5576	9	22	791
5532	16	32	782
5576	6	25	807
5704	13	27	811
5400	15	25	794
