delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5532	712	2591	2174
5280	-67	1610	-27
5320	-218	-1366	706
5608	-479	-3556	3041
5484	-258	-367	201
5376	277	-174	-860
5548	-320	1723	755
5588	-513	1899	757
5596	424	-434	100
5528	-433	-2792	2054
5492	-128	-700	406
5372	340	-280	-83
5488	-49	1841	193
5544	1	2174	1779
5348	404	952	-290
5528	-542	-2065	1195
5668	450	-2141	2230
5468	251	219	1687
5396	743	930	-674
5532	-285	2398	1860
5472	22	1628	92
5288	35	-1313	790
5536	148	-3194	2983
5292	88	339	153
5288	573	-480	-502
5544	341	1965	747
5400	-111	1962	1071
5472	185	79	-99
5596	-505	-2766	1463
5656	-99	-1395	906
5548	412	44	570
5464	354	1259	182
5396	539	1697	2103
5456	381	1857	-357
5588	-220	-1761	952
5604	-229	-2588	2371
5492	647	63	1626
5336	415	5	-746
5592	108	2189	1799
5632	65	1863	214
5520	-235	-958	691
5552	24	-3078	2928
5588	-77	-97	201
5616	503	-812	-693
5540	-188	2020	1021
5652	165	2458	826
5568	-376	-474	194
5548	69	-2387	2207
5592	-262	-1196	125
5428	-152	-1003	-191
5272	822	2144	396
5404	-917	2002	1829
5468	-383	2196	-571
5604	-370	-2444	1057
5492	-267	-2124	2055
5312	1096	68	1788
5568	-82	766	-990
5676	-134	2249	1964
5472	-74	2175	109
5544	799	-1186	929
5412	16	-3221	2978
5584	22	-257	196
5476	196	-448	-892
5544	385	2527	1008
5632	1511	1895	1018
5512	610	-484	397
5356	-731	-2906	2401
5488	-87	-812	307
5664	353	-451	-158
5552	65	1962	225
5516	-817	1664	1744
5652	777	950	-188
5528	-330	-2898	1234
5660	-389	-1801	1505
5492	473	-383	1391
5584	-553	1097	-527
5608	-410	2352	2095
5472	236	1577	-289
5412	-135	-1366	945
5436	-104	-3215	2714
5312	365	111	1051
5568	615	-93	-1126
5552	38	2408	1435
5572	-47	2199	660
5544	117	-1178	669
5412	-99	-3053	2643
5428	508	-1280	-105
5252	641	-1115	-358
5252	64	1627	383
5348	303	1449	1905
5628	303	1313	-196
5592	294	-2480	1190
5464	-475	-2278	1981
5660	1333	-563	1743
5472	359	538	-582
5356	557	2871	1984
5632	613	1716	164
5568	87	-1563	921
5532	329	-2861	3070
5472	-159	-197	444
5372	-1033	-122	-896
5616	534	1985	1107
5460	-58	1574	861
5536	-283	-460	217
5376	-565	-3045	2389
5492	-78	-600	356
5664	1597	-967	78
5536	-3	2104	308
5656	7	1755	1740
5528	15	1249	-239
5532	-349	-2316	1234
5488	-261	-2407	1508
5316	231	54	1302
5688	237	619	-660
5532	-198	2422	1880
5472	-251	2431	-230
5256	-367	-1131	867
5428	226	-2936	3092
5472	-19	135	273
5652	86	-543	-776
5496	32	2229	1008
5576	-980	2138	685
5588	179	-257	540
5536	-492	-2534	2229
5660	-123	-1100	25
5552	-429	-1165	-79
5560	344	869	411
5520	-387	1776	1490
5300	-306	1294	-300
5600	-131	-2135	1307
5492	-369	-2006	1479
5312	525	210	1443
5568	236	1160	-663
5592	-135	1691	2117
5644	168	1402	-77
5536	221	-1783	860
5580	-71	-3570	2942
5612	-256	-44	976
5492	23	-416	-968
5660	-651	1990	1284
5476	220	2354	465
5568	315	-1006	601
5592	-345	-3130	2775
5660	295	-819	-65
5496	706	-977	-514
5540	83	2436	597
5348	-673	1839	1030
5648	305	560	-265
5528	-389	-2181	1503
5492	-816	-1292	875
5604	91	-351	804
5652	141	1981	-212
5584	1097	1706	2041
5508	-176	1676	-377
5608	-202	-2252	1168
5484	-590	-2465	2207
5668	594	927	1616
5568	-983	90	-897
5496	-20	2456	1776
5596	-70	2415	109
5536	659	-1378	900
5416	-317	-3420	3141
5484	-153	-620	-47
5508	-1004	-437	-765
5276	267	2235	1018
5276	-613	2095	1071
5648	-133	485	-5
5612	-625	-2393	1594
5488	-353	-1032	719
5608	1024	-134	705
5584	62	1274	-25
5476	-32	2223	1953
5428	-260	2043	-268
5428	-342	-1524	892
5256	-241	-2551	2369
5312	397	-441	1498
5592	75	104	-968
5648	-39	1786	1469
5600	255	1782	576
5568	-180	-461	612
5556	-323	-2960	2821
5484	-42	-710	-72
5624	541	-601	-434
5548	-327	2631	713
5592	-192	2305	1060
5652	630	-124	92
5472	0	-2752	1583
5540	-42	-1648	639
5372	712	8	460
5576	360	1283	23
5520	-75	2020	1909
5596	-98	1650	-337
5556	-15	-1364	970
5548	-77	-2564	2305
5604	855	-56	1781
5532	82	363	-853
5648	191	1796	1863
5636	-312	2322	85
5532	394	-1298	909
5592	122	-3032	3042
5468	-84	29	256
5600	-268	-591	-711
5560	-377	2421	983
5588	-213	1554	839
5596	38	-714	463
5648	200	-2934	2259
5472	-469	-792	-107
5560	196	-505	-41
5668	141	2053	343
5568	-295	1698	1557
5476	504	297	-122
5356	-709	-2275	1261
5484	-157	-1901	1692
5312	776	-167	1544
5592	3	468	-636
5600	-459	1867	1860
5476	173	1561	-7
5300	-13	-1331	794
5544	-199	-2891	3007
5312	-422	317	386
5540	-122	-752	-545
5388	602	2455	1024
5452	-255	2152	916
5596	158	-259	175
5528	-331	-2525	1767
5312	-350	-1457	394
5608	284	217	592
5512	820	1718	134
5404	635	1542	1879
5452	-86	1948	-241
5552	-216	-1557	1008
5312	-437	-2613	2282
5664	496	721	1100
5572	15	-83	-836
5436	-136	1528	1606
5296	-172	2359	437
5588	-233	-1204	605
5612	1	-3348	2850
5528	761	-979	76
5652	625	-344	-360
5544	-28	2176	529
5544	503	2022	1164
5624	-157	578	24
5480	-685	-2416	1572
5316	-28	-1438	749
5548	583	-214	941
5708	504	1058	-23
5528	-681	1612	1966
5472	286	2010	-350
5236	-247	-2011	746
5436	-444	-3300	2764
5484	436	-139	984
5536	72	-617	-885
5660	-700	2483	1147
5472	130	2096	629
5404	-293	-748	679
5548	-432	-3103	2468
5484	210	-915	-84
5668	402	-893	-267
5540	-395	2244	261
5596	-115	2133	1277
5472	-610	594	-180
5376	-177	-2485	1452
5488	-77	-1703	1356
5604	516	-313	1280
5592	157	1309	-328
5584	-355	1863	1963
5476	-85	1554	-268
5380	-287	-1260	873
5604	-129	-2893	2969
5488	-442	663	875
5532	-327	-696	-745
5388	-107	1985	1345
5476	8	2185	573
5640	107	-131	606
5536	-482	-3428	2412
5660	240	-1119	-29
5548	968	-1065	-105
5596	-86	2227	597
5540	-267	2301	1388
5476	320	262	-109
5356	-166	-2249	1322
5484	-40	-2053	1502
5256	1148	-506	1413
5300	311	520	-524
5700	-443	2430	1677
5480	465	2328	115
5568	138	-1201	898
5584	340	-3067	3124
5648	-332	-466	419
5548	1220	-951	-604
5604	325	1822	1039
5452	-383	1817	667
5596	135	-484	576
5528	-566	-3022	2289
5312	324	-760	-100
5548	444	-145	72
5296	-86	1788	194
5536	-114	2040	1947
5300	98	1154	-370
5536	-846	-1754	1032
5312	279	-2580	2225
5648	335	355	1469
5568	811	801	-699
5528	548	2288	1596
5632	-390	1871	256
5592	149	-370	637
5536	85	-2967	2952
5584	192	-144	41
5476	516	-590	-485
5544	98	1855	872
5344	-882	2344	903
5596	-5	-315	7
5496	-184	-2835	1649
5312	248	-1353	663
5588	688	-266	911
5528	339	1335	-40
5532	341	1809	1903
5284	-97	1831	-282
5376	-211	-1216	969
5604	91	-2689	2922
5416	310	-154	1009
5412	452	-378	-859
5544	34	2198	1216
5580	736	2403	830
5572	-678	-516	485
5552	-125	-2424	2472
5488	-269	-808	-151
5384	307	-1479	-64
5548	184	1993	499
5572	-648	2260	1494
5472	283	656	-240
5360	-13	-2275	1163
5600	-8	-2085	1715
5552	148	758	1538
5572	414	766	-429
5528	278	1874	1915
5636	399	1489	-197
5584	121	-963	973
5536	-137	-3268	3007
5656	657	-16	797
5480	558	-404	-867
5544	202	2193	1167
5632	-278	2485	629
5588	20	-501	449
5472	-622	-2656	2534
5320	235	-699	-86
5660	350	-845	-2
5432	326	1930	612
5400	-54	2248	1496
5596	870	1237	-179
5588	-506	-2010	1033
5484	187	-2068	1675
5640	1339	-105	1690
5476	-164	907	-480
5544	47	1574	2014
5400	-3	1362	-76
5452	-3	-1025	968
5316	-212	-3061	3060
5668	-172	-55	154
5488	1087	-876	-723
5600	86	2165	876
5524	-110	2299	921
5588	262	-569	313
5536	-635	-2878	2039
5312	-434	-1079	236
5604	210	-287	295
5532	-100	1942	152
5592	-359	2507	1809
5652	-146	1821	-385
5600	-87	-2078	1059
5428	-706	-2323	1973
5320	694	66	1733
5512	-494	1374	-964
5428	369	2310	1795
5460	-439	2148	200
5588	197	-1182	874
5592	79	-3381	3089
5588	-58	-1041	-71
5504	562	-795	-451
5376	209	2778	832
5572	520	1294	1249
5452	227	1024	35
5348	-470	-2296	1598
5660	-444	-1213	870
5428	317	-106	1058
5592	286	1556	-178
5584	-512	1925	1977
5652	-851	2640	-314
5604	325	-2028	902
5416	495	-2867	2686
5292	-185	696	1440
5240	-258	-55	-994
5332	155	2286	1106
5632	577	2209	813
5572	-48	-759	526
5492	124	-2673	2236
5648	-24	-651	-31
5620	121	-1454	-159
5432	-346	2573	235
5416	-28	1711	1422
5420	-751	1050	-246
5256	-45	-2153	1217
5260	228	-1888	1971
5292	615	32	1521
5344	-245	530	-947
5548	283	2115	1474
5632	-95	2415	489
5536	625	-1438	962
5588	-677	-2942	2658
5488	91	-282	-132
5312	-350	-437	-435
5568	-248	2710	480
5588	-130	1641	1336
5648	51	591	-162
5476	-647	-2629	1295
5664	-381	-1581	1012
5484	916	423	1193
5572	-162	1263	-323
5608	-729	2102	1948
5644	92	1745	-370
5540	-239	-1569	854
5604	-537	-3219	2635
5492	93	-267	1207
5528	263	301	-773
5356	-380	2128	1394
5648	537	1823	661
5572	522	-703	614
5536	-446	-3366	2691
5484	501	-500	-99
5668	228	-1147	-341
5600	349	2294	554
5568	-515	2186	1194
5480	61	333	64
5580	-483	-2586	1501
5664	-570	-1784	835
5604	1326	-352	1049
5472	217	1408	-84
5528	72	1796	1868
5404	-192	1137	-320
5432	238	-1806	1030
5296	159	-2962	2807
5640	-490	341	779
5540	512	-287	-822
5540	-107	2004	1300
5652	138	2404	643
5568	412	-336	682
5528	-556	-3166	2528
5668	57	-737	10
5416	347	-1189	-46
5372	189	2153	548
5576	-28	1457	1593
5592	282	1040	-215
5592	-456	-2047	1265
5484	-364	-1891	1326
5664	301	-353	1359
5584	409	849	-383
5536	-307	1862	1825
5472	319	1856	-113
5412	-832	-1094	673
5436	272	-3284	3242
5292	-45	240	442
5652	522	-650	-629
5552	188	2171	941
5568	1006	1866	1103
5508	-424	10	331
5312	16	-2844	2128
5584	-593	-1022	300
5608	507	-40	351
5476	-978	2026	185
5412	65	1695	1789
5580	-563	2340	-284
5428	-34	-1413	900
5376	552	-1613	2304
5472	-39	234	1433
5364	460	184	-698
5528	-111	1660	1323
5652	-59	2510	620
5536	142	-440	775
5536	-523	-3124	2661
5660	391	-574	-167
5544	-521	-701	-210
5564	151	2206	470
5572	14	2156	1190
5584	703	148	-7
5588	-574	-2267	1406
5492	-94	-1608	914
5548	1360	-334	1124
5292	655	950	-112
5532	-127	2442	1935
5296	106	1595	-256
5588	129	-1340	1028
5644	-399	-3101	2943
5484	119	245	797
5692	138	-131	-866
5544	-451	2625	1114
5472	-117	2667	698
5420	-456	-483	668
5544	-334	-2863	2144
5488	-122	-1035	-57
5568	385	-555	53
5644	342	2028	476
5576	-334	2022	1556
5472	380	1053	-208
5412	-233	-2099	1049
5492	-17	-2187	1988
5600	378	-110	1684
5592	145	203	-429
5528	701	2141	1798
5632	-1178	2405	-120
5488	334	-1335	862
5588	-96	-3326	3020
5604	114	117	401
5512	593	-371	-569
5376	-8	2076	861
5484	493	2049	945
5568	337	-283	322
5708	-571	-2392	1839
5488	131	-1365	318
5588	-143	-224	234
5548	830	1509	186
5576	449	1960	1664
5628	101	1420	-357
5588	-774	-1819	1041
5488	-117	-2576	2069
5656	435	232	1760
5576	391	476	-575
5528	-326	2059	1687
5652	106	1945	129
5568	-358	-1418	870
5436	17	-2849	2917
5412	116	-195	280
5528	389	-772	-367
5552	337	2314	819
5568	-71	1566	986
5544	488	-159	263
5704	-689	-2229	1605
5484	-527	-1713	415
5608	395	-691	547
5528	343	1573	185
5576	120	1410	1751
5624	-274	1619	-353
5608	-264	-2068	822
5428	25	-2410	2200
5412	987	216	1839
5576	592	580	-771
5532	-242	2107	1479
5476	-323	2255	270
5416	113	-1323	972
5584	-261	-3126	2790
5492	-278	33	-161
5488	281	-1004	-403
5428	134	2160	502
5576	-351	1810	1333
5472	602	402	-82
5652	-631	-1978	1326
5484	-143	-1907	1045
5664	856	-276	1258
5584	233	807	-225
5532	-9	2419	1837
5540	-532	2004	-300
5604	391	-1374	982
5592	-334	-3375	2821
5488	1216	504	1087
5276	-319	-416	-778
5568	-120	2261	1214
5300	-148	2138	665
5588	2	-44	516
5540	-42	-2531	2163
5604	-107	-1002	101
5608	555	-724	194
5528	-231	1748	302
5596	7	1462	1581
5524	5	1100	-266
5308	-15	-1555	869
5552	-267	-2550	2063
5660	688	-544	1743
5592	262	570	-710
5528	-18	2297	1672
5596	-1125	2418	-36
5608	-252	-971	865
5544	331	-3164	3150
5476	51	-623	241
5300	-57	-1280	-612
5560	-231	2726	665
5596	-378	2448	1061
5644	-412	212	367
5540	11	-2465	1672
5584	-171	-1207	426
5608	795	-576	650
5528	-216	1845	-68
5548	-253	1764	1808
5652	-9	1351	-305
5492	-1288	-1406	857
5664	104	-2798	2298
5468	400	338	1650
5576	597	821	-723
5704	-69	1678	1625
5420	249	1524	309
5404	-539	-1002	631
5428	-401	-3621	2845
5312	146	-486	-28
5668	360	-737	-123
5540	247	2167	575
5576	162	1829	1288
5628	-31	557	-137
5492	-14	-2785	1319
5612	-703	-2208	1065
5484	859	21	1131
5340	1012	903	-48
5536	-461	2131	1856
5644	-55	1665	-125
5556	692	-1292	944
5588	-261	-1810	2909
5492	-130	-90	723
5660	-11	-166	-815
5512	-223	2755	1081
5644	-79	2722	645
5536	104	-627	581
5536	33	-2704	2303
5588	56	-591	-78
5608	871	-754	-85
5488	490	2201	636
5396	482	1879	1451
5456	388	995	-211
5356	-355	-2097	1016
5484	465	-2952	2108
5300	367	81	1737
5688	-1068	108	-849
5428	-321	2220	1438
5304	259	2463	238
5572	-422	-842	953
5548	-133	-2949	2882
5664	832	-1028	-104
5600	364	-851	-320
5548	626	2313	503
5572	150	1872	1180
5460	576	230	88
5280	-711	-1711	1454
5312	-447	-2177	1166
5660	1020	-6	1583
5532	388	1126	-358
5588	598	1801	1827
5460	-450	1967	-242
5428	-12	-1454	979
5548	320	-2671	2992
5472	469	-276	336
5700	621	-568	-389
5552	-463	2460	1011
5472	-193	1747	900
5240	64	153	450
5288	-105	-2292	1659
5664	-413	-1374	655
5600	1729	-402	967
5592	357	1527	-185
5584	-275	1914	1872
5480	-225	2030	-279
5600	167	-1437	902
5592	53	-3126	2515
5588	675	41	1328
5512	1506	394	-774
5592	274	2008	1322
5628	254	2624	462
5576	-115	-1410	840
5604	-269	-3440	2871
5492	380	-530	-35
5660	1200	-1109	-183
5488	-639	2271	558
5588	-526	2014	1159
5472	118	1265	118
5404	-874	-2516	1331
5484	-426	-2112	1008
5660	1051	55	1357
5576	548	1089	-19
5528	380	2163	1875
5632	786	1445	-190
5584	352	-1345	956
5592	-156	-3084	2894
5484	562	798	852
5516	-226	178	-847
5380	165	1864	1202
5448	-294	2286	767
5416	213	-567	573
5536	-330	-2572	2012
5484	-61	-911	235
5316	561	95	271
5640	-167	1410	147
5588	26	2404	1702
5580	633	1487	-246
5412	-966	-1644	843
5428	5	-2531	2443
5540	-619	433	1377
5588	125	181	-743
5536	476	1761	1480
5624	-246	1973	519
5596	9	-812	898
5420	-242	-3102	2619
5312	-463	-548	-215
5560	853	-775	59
5656	446	2051	573
5568	79	1821	1305
5584	21	768	-236
5476	-559	-2051	1138
5312	429	-1826	1186
5644	811	-561	1623
5584	588	854	-387
5536	-704	2318	1709
5472	661	1838	22
5340	74	-919	830
5480	-295	-3406	3123
5312	16	-25	103
5588	649	-604	-378
5548	622	2244	925
5572	225	2053	1016
5276	-635	1009	133
5596	-507	-2281	1193
5660	-364	-1640	783
5436	202	-611	1209
5412	423	1707	-49
5528	9	2528	1846
5528	-237	1877	-245
5604	381	-1214	906
5592	454	-3058	2996
5468	0	320	884
5412	635	-159	-702
5548	-205	1907	863
5588	-139	2555	773
5596	248	-230	588
5528	-799	-2600	2026
5484	-297	-1400	-12
5396	-720	-808	165
5544	102	1679	178
5572	-165	1840	1689
5476	-650	1876	-349
5256	-2	-1561	1030
5372	-303	-2902	2544
5492	268	-92	1116
5700	-115	-106	-753
5568	42	1717	1350
5572	460	1811	543
5572	-296	-938	940
5556	-143	-2946	2583
5484	-354	-176	-64
5684	773	-501	24
5472	-267	2416	314
5596	-530	2187	1313
5648	281	547	-187
5532	-1102	-2106	1131
5544	-427	-1976	1099
5656	714	557	1343
5580	684	1107	-212
5584	-159	1848	1777
5476	832	1319	-188
5584	546	-1332	897
5592	25	-2888	2887
5584	-614	244	657
5536	-640	-645	-770
5564	-395	2590	909
5592	994	1505	882
5576	-15	-279	768
5664	-299	-2970	2422
5492	-968	-727	-49
5508	-44	-652	35
5432	-20	2096	303
5544	-158	1967	1671
5472	447	1502	-257
5592	-686	-1901	980
5604	148	-2535	1905
5648	391	237	1628
5568	124	498	-547
5528	428	2587	1669
5632	-94	2465	-45
5496	171	-1531	1056
5644	-184	-3321	2928
5484	20	291	98
5588	168	-957	-244
5540	507	2127	835
5572	-8	1851	1029
5548	-170	-86	338
5316	-405	-2652	1605
5664	-473	-1452	663
5428	1048	-725	1045
5292	766	1639	-96
5356	544	2298	1952
5456	311	1704	-89
5356	-373	-837	852
5548	-135	-3307	3047
5668	-79	-303	266
5488	223	-834	-490
5552	150	2223	931
5568	-206	2528	914
5596	-274	285	425
5536	-205	-2707	1853
5312	-508	-1212	280
5608	623	-394	779
5528	-180	1699	-4
5672	555	1472	1792
5452	260	1391	-342
5236	-240	-2026	790
5428	170	-2809	2765
5476	-1127	684	687
5588	760	-241	-729
5544	-755	2402	955
5596	447	2196	932
5572	-262	-118	620
5552	-199	-2822	2307
5660	-391	-813	-110
5564	537	-161	124
5532	447	2095	482
5576	77	2097	1582
5572	767	1131	-52
5528	49	-1977	1007
5592	-237	-2616	1708
5660	726	-534	1819
5592	633	637	-481
5528	-321	2338	1605
5476	143	1970	71
5344	149	-617	946
5528	-301	-3581	3022
5668	-4	-939	-8
5504	-529	-958	-341
5568	277	2124	743
5572	71	2129	1100
5584	-194	-173	147
5544	-367	-2172	1481
5312	-296	-1389	500
5608	-13	-179	1163
5548	279	1433	-112
5584	-437	1728	1882
5652	165	2350	-394
5584	556	-1559	944
5420	-432	-2878	2701
5312	671	50	1052
5516	-179	-136	-576
5392	-242	2080	961
5588	185	2167	807
5572	665	-568	744
5536	-500	-2620	1957
5484	-644	-1190	180
5256	91	-720	432
5304	-8	2057	29
5600	101	1844	1900
5624	-149	1915	-329
5608	148	-1558	946
5584	53	-3249	2803
5420	-545	-66	1172
5372	-220	-166	-783
5560	-196	2726	865
5596	-548	1911	643
5588	-341	-296	577
5556	-436	-3109	2365
5484	-1	-1249	-35
5276	848	-545	126
5708	162	1915	344
5572	-375	2455	1548
5480	133	1816	-399
5584	-706	-1525	913
5608	264	-1999	2044
5468	247	-190	1656
5408	467	595	-531
5536	129	1966	1561
5628	-245	2294	371
5412	-217	-990	941
5384	-433	-3293	2729
5480	713	-1123	-36
