delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5656	33	532	811
5468	91	533	857
5636	24	-71	833
5596	-74	490	637
5484	-118	193	1015
5240	-22	-224	725
5316	97	-956	972
5652	-192	-191	674
5548	38	-572	937
5480	-33	-332	900
5316	-215	175	784
5532	-167	125	770
5360	-42	455	774
5488	-87	365	760
5308	71	387	834
5640	44	622	812
5464	81	-259	870
5300	202	650	634
5512	-58	-13	950
5268	-122	-15	640
5316	344	-823	899
5532	-255	-133	792
5372	45	-574	932
5480	-272	-232	861
5372	-319	262	746
5532	21	-46	681
5596	-150	406	745
5532	-93	395	770
5660	-289	460	851
5532	201	600	786
5524	16	95	995
5572	451	599	641
5516	484	-17	1059
5360	74	-229	665
5472	144	-563	849
5356	55	-134	748
5652	-18	-436	924
5492	238	-158	875
5532	-178	456	637
5532	60	6	722
5348	-465	273	694
5540	220	140	876
5688	-6	379	771
5420	-16	383	786
5316	120	-6	861
5588	52	164	569
5644	144	89	1058
5512	-74	10	652
5596	-108	-578	1007
5608	-137	-295	775
5548	-378	-417	770
5552	-289	-200	749
5548	253	150	705
5520	-52	241	819
5308	-221	497	791
5528	168	203	854
5344	-33	324	817
5484	409	498	751
5340	75	-100	881
5644	219	270	438
5524	93	185	1027
5516	-174	-70	658
5672	194	-732	1120
5584	-36	36	883
5600	-39	-586	727
5492	166	-177	826
5528	-114	8	668
5600	-168	-77	975
5664	-41	136	805
5488	-5	380	792
5592	30	451	853
5644	-42	432	757
5480	-20	50	829
5600	600	118	616
5512	199	206	1019
5396	-115	21	534
5484	-54	-856	1074
5548	139	-239	917
5708	328	-575	774
5528	-268	75	880
5476	-521	-125	657
5380	144	224	871
5512	-93	208	659
5656	-148	418	692
5540	-73	609	669
5480	47	398	802
5644	261	180	869
5512	88	247	573
5644	194	229	1103
5568	222	-193	705
5528	-131	-935	1089
5608	31	48	737
5576	113	-655	695
5536	-51	-77	798
5608	-52	-125	783
5496	-138	273	901
5360	123	525	695
5512	23	308	790
5644	-98	616	685
5484	10	563	869
5288	5	-118	884
5600	82	97	575
5576	76	313	1127
5524	151	-113	658
5352	-225	-726	988
5548	-98	-238	651
5500	46	-461	723
5296	80	38	933
5576	-46	29	799
5604	-209	188	817
5532	-37	577	621
5308	-19	285	778
5660	2	200	805
5584	-86	231	778
5484	83	-81	872
5592	-7	378	605
5600	92	305	1065
5520	155	-144	658
5528	166	-485	881
5360	83	-479	733
5472	-258	-291	798
5372	71	-157	960
5480	-458	215	692
5360	14	221	720
5460	105	520	787
5344	-101	350	747
5536	34	-6	1054
5588	75	475	541
5644	-49	261	1027
5536	382	288	567
5516	8	-77	883
5712	211	52	904
5460	-297	-298	626
5552	-79	-560	1087
5548	58	-157	773
5300	-193	-213	759
5552	61	-65	720
5420	107	290	765
5520	-310	94	916
5476	-87	423	644
5308	207	337	1028
5572	43	502	456
5640	-124	196	1099
5588	316	204	558
5524	159	-267	929
5528	-67	-5	960
5560	172	-35	591
5296	395	-972	1062
5588	87	-282	513
5652	-183	-313	874
5544	-291	392	892
5540	89	-361	879
5644	52	4	798
5528	-85	106	668
5480	140	257	926
5340	164	380	599
5520	-225	353	1060
5588	151	-127	680
5528	460	-49	913
5308	-221	414	1019
5588	128	-238	473
5528	118	-981	1077
5420	-88	-320	626
5488	39	-268	982
5652	6	-326	870
5420	-723	44	618
5304	52	344	811
5644	-79	119	876
5480	210	361	787
5340	-219	195	811
5540	165	667	710
5516	437	-132	908
5352	306	361	700
5524	298	23	991
5632	24	-104	780
5472	-12	-657	969
5324	-47	-606	888
5664	-9	-475	676
5432	16	-153	788
5304	-260	221	777
5532	115	-28	919
5300	-131	15	766
5656	36	270	641
5460	556	487	1082
5396	-15	507	528
5488	-107	108	1082
5588	250	107	528
5520	336	-387	1025
5408	-44	6	847
5540	-25	-294	509
5496	131	-996	960
5700	-211	-94	641
5496	-122	-22	1011
5548	199	33	801
5632	-82	329	659
5488	112	106	819
5336	45	259	738
5644	-29	424	913
5480	217	227	693
5516	92	504	1029
5344	302	-37	654
5652	218	208	829
5512	360	59	902
5640	67	-169	609
5472	-57	-886	1232
5552	-218	-27	686
5664	-79	-473	779
5500	177	-158	807
5528	-248	-236	700
5372	-124	192	983
5536	-168	201	793
5532	82	416	693
5644	-170	496	848
5532	337	428	742
5512	28	-67	778
5424	-57	321	618
5480	199	100	1122
5572	-152	197	612
5536	139	-868	840
5356	1	-169	659
5600	-161	-517	759
5548	-141	43	1065
5532	-56	-123	761
5672	505	469	792
5512	-146	232	758
5540	24	246	736
5636	-55	123	976
5488	19	407	488
5636	180	111	1162
5568	159	446	461
5520	334	-106	975
5528	77	-36	724
5424	-68	-394	616
5492	-26	-802	1105
5548	-65	-210	649
5668	-52	-295	875
5492	-157	-24	730
5672	-48	164	717
5480	400	224	955
5520	-76	347	724
5308	-190	185	811
5532	70	394	748
5292	135	349	986
5692	-6	26	613
5536	12	-70	813
5596	-138	196	1124
5588	243	-32	553
5476	127	-999	1089
5588	75	-257	636
5648	-12	-448	826
5496	55	249	1092
5520	-410	184	546
5360	102	229	846
5516	-101	104	815
5532	-13	263	677
5308	189	420	864
5692	171	259	794
5516	102	-48	890
5476	209	122	602
5344	199	-66	1007
5528	-188	-310	775
5552	135	-405	893
