delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5532	-164	-1122	1293
5316	-209	-2777	1032
5660	-120	-1395	700
5608	94	-179	1798
5528	650	363	-74
5472	232	1628	1031
5284	-378	2470	633
5244	315	593	416
5340	-269	-816	1271
5604	-82	-2261	984
5548	133	-1931	880
5584	-122	-241	1214
5612	174	303	108
5512	-129	1940	770
5592	37	3149	768
5524	-21	159	477
5304	-138	-290	1335
5612	-284	-2087	902
5600	2	-2233	963
5480	1047	-835	999
5416	-457	-107	183
5548	-171	2123	666
5592	231	2750	1039
5456	187	674	536
5336	341	-410	1132
5592	28	-1678	845
5528	-124	-2432	1024
5664	-265	-604	617
5548	787	-508	562
5528	127	1539	570
5576	128	2606	983
5572	249	661	799
5520	-186	31	800
5304	-268	-1904	891
5604	-66	-2303	1084
5608	18	-970	599
5472	-180	-375	717
5372	137	1976	311
5576	-548	2683	1101
5472	160	987	638
5340	0	126	598
5592	-234	-1577	1084
5484	-119	-2570	1190
5312	186	-1286	562
5592	-757	393	1252
5588	610	1606	87
5520	-464	1986	934
5592	480	1877	799
5576	142	274	473
5688	-388	-1278	1019
5488	23	-2497	1197
5588	401	-1420	694
5588	-47	182	1381
5540	911	999	33
5636	-253	2335	1056
5476	490	1905	752
5396	283	134	437
5516	-523	-895	1247
5608	173	-2724	1154
5464	124	-1605	786
5412	585	249	1633
5576	159	581	-177
5528	-363	1902	1055
5476	187	2407	709
5396	-779	912	336
5536	113	-1017	1335
5644	-30	-2405	1062
5432	8	-1706	765
5304	74	-244	1626
5532	314	325	-217
5356	-142	1629	862
5588	-56	3049	737
5544	92	266	338
5636	-362	-949	1414
5436	-305	-2257	1004
5312	19	-1902	919
5528	-527	136	1042
5412	556	-291	99
5480	-253	2331	695
5588	-105	3197	858
5596	-335	314	652
5532	324	-393	1259
5592	-379	-2085	890
5604	-140	-2020	992
5608	-115	-15	867
5492	398	-412	379
5352	258	1894	782
5580	-181	3409	872
5588	455	183	643
5516	-449	130	1068
5592	-290	-2025	893
5604	111	-2451	1107
5472	-10	-641	693
5316	742	-51	496
5648	153	1519	468
5576	178	2744	938
5568	-1	994	635
5608	-167	79	769
5476	-126	-1833	831
5608	-31	-2468	1147
5604	-285	-910	588
5548	-325	-309	752
5552	-45	1649	333
5536	-229	2635	1016
5296	494	1029	619
5576	-540	506	676
5536	-294	-1561	989
5256	33	-2301	1104
