delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
		730	5536
488	480	911	5632
-402	53	739	5520
627	293	563	5480
-138	189	1135	5512
71	-48	527	5596
-634	-702	1015	5416
137	-437	734	5260
-282	214	763	5352
-365	462	797	5540
-140	526	888	5532
-15	515	756	5540
496	195	520	5480
-429	-25	1077	5516
-103	24	507	5552
449	-694	907	5476
969	-205	980	5536
468	-404	748	5356
-48	77	826	5528
216	345	742	5420
238	366	904	5520
-110	212	461	5340
-64	95	884	5532
-98	27	917	5428
142	-155	725	5248
-574	-394	1092	5352
-120	-372	591	5432
-433	488	795	5552
-173	349	841	5532
337	676	818	5540
119	346	710	5512
67	79	625	5516
-85	10	1263	5236
451	137	154	5300
326	-646	1006	5516
1021	-220	882	5592
-606	-218	909	5584
30	125	782	5372
703	434	719	5292
675	882	940	5520
-983	-271	476	5516
431	-77	1013	5200
274	648	569	5352
516	-639	956	5520
382	-602	1097	5532
230	-229	599	5592
-435	184	744	5528
-372	518	843	5540
758	482	806	5532
289	338	612	5516
-334	876	684	5520
-54	156	1191	5532
-153	-434	565	5544
-177	-213	707	5548
56	-234	725	5548
141	197	804	5476
249	703	809	5516
-347	666	843	5516
148	58	779	5364
601	420	530	5460
422	-282	1225	5512
195	-21	361	5592
311	-586	944	5472
-929	-196	735	5536
-163	-459	857	5548
53	153	699	5548
-40	101	910	5468
97	412	842	5308
-107	100	468	5460
-116	329	1149	5364
-3	288	565	5416
496	-817	949	5248
235	-167	890	5352
-388	-217	775	5536
208	-56	788	5548
104	438	863	5472
300	231	824	5520
181	358	672	5516
-21	355	871	5520
-13	68	815	5652
510	-516	634	5420
-405	-515	957	5536
-98	-107	745	5548
-744	20	781	5500
290	569	872	5304
-780	291	775	5512
454	460	708	5540
535	496	542	5516
269	-9	1250	5516
-202	-434	460	5300
-231	-682	979	5552
-227	-515	930	5548
-330	-497	748	5552
153	161	836	5548
136	526	818	5520
-294	475	830	5512
-321	262	492	5536
245	-35	1213	5536
68	15	522	5532
101	-540	837	5580
-131	-514	903	5528
-532	-110	779	5548
768	119	780	5552
-439	692	828	5516
380	62	894	5536
-169	-34	545	5460
257	36	991	5492
-215	363	503	5288
19	-841	1006	5532
370	-411	974	5532
-71	-165	796	5532
-85	-36	733	5492
362	462	862	5260
-12	613	663	5524
182	329	697	5304
-50	136	634	5516
-34	7	1193	5488
-379	-124	591	5248
132	-684	867	5544
-164	-571	640	5528
400	9	847	5552
331	-39	859	5576
-42	987	741	5476
-201	478	894	5656
482	296	646	5540
-156	-229	1194	5512
888	283	329	5432
-414	-713	891	5348
-455	-64	936	5544
-407	237	727	5492
-70	12	742	5540
-28	477	831	5596
-575	466	908	5488
-497	-252	512	5532
810	-18	1022	5548
15	242	616	5532
-345	-683	785	5464
438	-35	1022	5552
-502	-6	633	5532
-199	-316	682	5608
462	595	901	5552
256	636	797	5516
-293	-35	665	5524
-36	405	739	5488
680	301	1017	5656
294	-166	804	5404
-547	-682	891	5352
151	-597	800	5548
-136	-136	828	5536
50	218	871	5544
202	655	747	5472
-65	-162	871	5512
178	384	574	5492
39	-353	1111	5520
-67	-658	558	5356
518	-54	837	5492
-366	-160	847	5476
-166	191	967	5548
-417	6	789	5532
-564	415	823	5600
-283	392	637	5532
672	147	636	5540
-111	-65	1097	5516
-178	212	377	5552
645	-376	1023	5536
-234	-658	904	5584
-545	-463	746	5552
951	221	721	5548
-415	446	759	5520
503	851	837	5532
-42	433	419	5516
55	256	1100	5488
167	55	583	5516
-133	-325	789	5640
299	-627	898	5548
549	-419	692	5532
-314	146	781	5532
51	472	903	5532
-222	756	712	5468
102	170	758	5536
55	-89	742	5516
438	202	830	5596
-62	-192	809	5512
339	-149	911	5500
-113	119	726	5528
293	-488	925	5360
39	341	833	5532
113	394	835	5464
-16	241	711	5512
52	353	629	5488
-213	-60	1218	5292
276	-275	592	5544
113	-838	1091	5536
-318	-760	733	5584
-109	66	754	5556
-200	320	863	5476
-181	480	887	5532
410	583	657	5536
-209	255	608	5516
-278	-170	1335	5540
230	100	299	5600
-595	-278	735	5516
-784	-432	970	5552
305	241	773	5548
-33	372	871	5520
-417	169	883	5480
406	229	841	5532
106	455	513	5520
-319	-92	944	5340
-133	99	647	5492
164	-329	920	5480
-309	65	894	5528
-69	-127	706	5304
108	24	756	5500
53	16	820	5628
352	998	840	5404
91	263	661	5344
-71	212	738	5464
184	40	1122	5480
514	-301	711	5348
-287	-764	815	5528
364	8	677	5548
-129	66	835	5580
58	186	932	5476
-618	865	712	5468
-334	276	759	5360
689	-245	704	5532
-72	-76	1097	5536
296	-25	396	5492
676	-762	982	5472
