delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
334	617	752	5580
-474	791	859	5408
158	94	641	5256
-148	645	653	5528
20	216	1026	5252
150	-38	506	5580
569	-839	734	5544
321	-30	1064	5600
252	567	431	5432
139	-21	822	5580
476	365	1048	5540
-162	354	586	5476
-320	268	658	5600
-13	-82	954	5604
253	-461	575	5496
275	-521	679	5428
-17	-439	1218	5260
-494	-180	551	5616
264	-19	770	5444
363	128	986	5548
87	674	596	5576
-48	476	666	5528
47	147	914	5540
511	324	572	5520
-681	-835	609	5588
-97	-632	1117	5448
418	160	592	5272
63	193	824	5584
-30	141	965	5524
23	607	634	5544
-177	593	500	5524
77	222	994	5600
119	279	753	5524
31	-1037	591	5408
-36	-756	1230	5252
-322	100	510	5628
800	20	723	5424
-187	682	876	5348
-218	495	655	5432
237	13	542	5596
413	457	998	5524
282	180	871	5588
331	-945	657	5408
-565	-589	1000	5252
283	71	625	5508
312	533	658	5352
95	517	1029	5580
134	241	790	5412
235	450	607	5584
-204	158	899	5588
-203	-21	963	5424
347	-634	543	5212
-196	-392	927	5252
-277	-107	921	5272
181	311	768	5624
101	355	834	5408
453	544	1000	5232
56	541	393	5648
-265	162	817	5520
322	76	1080	5428
-47	-680	542	5232
81	-509	810	5216
242	-798	1133	5368
509	459	638	5484
150	23	860	5588
-209	665	895	5524
42	537	478	5424
-58	526	701	5356
292	283	1167	5540
390	-424	558	5468
-212	-742	805	5604
66	-193	1158	5444
-521	13	654	5608
-604	433	748	5540
142	302	1032	5428
34	237	469	5644
733	360	737	5524
348	331	1117	5408
516	-305	460	5300
-166	-798	793	5596
236	7	1126	5448
154	93	536	5528
-652	84	790	5348
464	269	967	5540
235	246	658	5412
23	241	619	5232
-217	72	1065	5348
488	12	494	5428
168	-806	667	5524
-999	-537	1158	5252
384	-46	688	5504
31	193	822	5368
-369	257	946	5524
516	295	802	5428
431	278	407	5584
9	279	878	5584
147	133	635	5460
389	-377	620	5588
-157	-535	1090	5604
-505	411	486	5508
-231	181	969	5424
-104	172	873	5252
82	685	703	5604
539	279	468	5520
161	-23	923	5584
164	82	844	5544
214	-675	721	5520
301	-238	1068	5432
-88	131	594	5660
213	-82	860	5548
338	668	840	5536
-204	501	697	5408
-299	380	508	5608
260	524	924	5600
-226	345	754	5404
-94	-687	766	5608
231	-557	1106	5556
-187	95	611	5496
-27	-23	849	5540
-94	429	931	5496
335	-71	827	5548
158	-80	499	5540
414	-104	1001	5544
317	189	955	5484
452	-629	638	5236
175	-680	989	5608
-316	-9	657	5596
-350	109	713	5508
76	384	928	5424
229	359	812	5348
-239	541	405	5408
-361	246	915	5252
341	206	1132	5604
-164	-509	488	5468
-357	-315	867	5624
-38	-145	779	5444
-786	458	714	5564
-356	352	902	5600
-177	355	871	5428
558	-62	575	5252
-214	123	823	5548
309	-342	1105	5600
9	-462	534	5492
1017	-613	878	5480
50	145	887	5308
-65	-325	692	5528
157	103	1007	5560
408	377	893	5468
-626	-250	560	5584
-297	252	807	5620
542	177	1043	5432
299	-562	591	5640
401	-606	763	5428
-448	-139	1003	5604
-23	67	640	5504
-40	456	896	5488
287	413	936	5540
-247	-51	538	5580
493	661	709	5564
-92	444	1076	5584
-143	-570	564	5432
-261	-579	813	5616
357	-478	1074	5444
44	-11	691	5492
-226	117	889	5308
-142	297	945	5600
296	223	418	5432
548	145	779	5580
351	126	1109	5588
485	-172	553	5468
-100	-451	725	5604
45	-627	1094	5444
230	-66	699	5600
184	602	746	5548
-172	461	905	5580
-468	37	541	5424
-3	369	767	5548
88	175	1198	5480
190	-536	636	5236
599	-901	735	5252
-338	-406	1023	5608
1046	349	559	5500
-208	414	847	5476
-194	830	853	5252
-333	175	672	5600
157	516	717	5604
194	-141	1168	5408
-243	-278	429	5664
476	-843	595	5444
-247	-154	1187	5600
637	587	528	5512
-73	349	768	5580
-232	749	883	5548
708	194	789	5428
-53	236	669	5580
-113	269	1081	5548
167	-146	413	5484
-489	-542	645	5604
-384	261	1098	5448
-126	199	543	5656
521	-101	872	5432
-131	709	909	5600
824	270	601	5428
551	406	699	5240
-198	25	1081	5232
-220	-187	498	5252
-54	-558	575	5616
155	-338	1175	5564
-588	276	608	5484
-78	-358	836	5428
57	230	1008	5388
78	480	744	5408
-9	-73	709	5348
144	109	902	5444
205	70	768	5580
229	-845	630	5520
-551	-717	1176	5608
-13	362	590	5504
-795	-226	848	5544
-2	342	917	5444
531	378	712	5652
-58	-207	532	5416
166	435	872	5556
-105	67	847	5588
-360	-416	631	5540
528	-666	1124	5444
-389	82	560	5320
