delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5428	418	-165	888
5252	242	263	764
5588	570	-308	691
5600	200	-391	956
5432	-487	284	744
5596	284	221	874
5408	-594	39	904
5376	491	459	970
5408	255	-119	273
5248	268	-174	1242
5488	71	434	369
5352	-549	-1050	825
5504	166	-390	1072
5488	-71	-128	623
5564	621	256	827
5580	-59	110	917
5548	348	350	899
5408	-721	349	187
5252	89	-236	1539
5604	-309	189	316
5600	118	-779	784
5428	-914	-350	980
5624	-541	-344	714
5444	-634	583	678
5608	-47	289	1020
5424	444	37	756
5348	829	371	519
5408	68	-153	1449
5256	148	-148	404
5596	-462	-529	673
5448	347	-248	965
5252	-520	381	715
5604	121	335	757
5584	78	399	1033
5412	-299	494	394
5600	601	103	735
5588	558	-600	1260
5488	385	-751	622
5428	-361	59	679
5372	889	-341	949
5428	-752	40	662
5536	-160	319	750
5608	507	799	1042
5468	87	618	165
5520	408	328	1205
5644	-167	236	631
5428	-310	-973	907
5624	126	-591	988
5428	-216	129	698
5252	426	-182	762
5604	-254	640	796
5428	178	950	854
5236	226	18	278
5344	-385	-192	1391
5512	143	420	485
5580	619	-826	825
5428	92	-519	1108
5608	-111	-167	663
5444	-529	592	768
5252	339	227	845
5588	-553	889	766
5600	-29	374	317
5372	-526	-58	1431
5272	206	278	331
5580	-62	-1102	847
5444	163	-297	1158
5320	252	439	581
5580	-163	145	839
5428	-864	400	884
5604	824	522	527
5580	195	850	306
5416	424	-299	1380
5660	288	-520	637
5428	271	-695	712
5604	493	-400	976
5428	-423	212	738
5252	479	230	881
5588	-475	462	979
5600	212	619	372
5412	-1	-206	735
5500	-76	246	901
5364	958	-592	711
5428	549	-109	732
5608	-782	49	783
5540	228	-299	838
5432	-67	350	917
5368	-71	304	948
5540	349	443	322
5412	119	-43	1125
5600	-330	362	612
5424	349	-1018	677
5320	164	-353	924
5600	356	240	688
5408	335	120	816
5584	-135	375	902
5600	-930	506	1003
5492	428	225	195
5580	402	-184	1524
5488	597	163	315
5584	-116	-892	645
5448	-189	-389	1061
5508	-472	62	580
5540	93	354	659
5520	-571	574	868
5608	-133	19	805
5536	-16	354	447
5548	243	35	1422
5580	180	-296	661
5428	190	-465	703
5604	-137	-437	972
5444	154	311	742
5588	-570	666	844
5600	-742	537	964
5428	-688	334	238
5604	297	100	922
5580	133	207	850
5416	-265	-548	684
5616	463	-578	978
5428	-261	-262	754
5276	-128	149	848
5600	478	454	803
5408	383	974	1019
5296	-196	692	229
5604	-516	-554	1258
5504	-564	485	502
5432	21	-828	751
5368	-239	-249	1024
5500	-389	152	716
5436	1304	-319	771
5312	533	716	987
5580	195	578	945
5408	50	-201	301
5548	80	-231	1395
5600	-215	273	325
5432	268	-696	727
5252	440	-204	1191
5660	-326	337	672
5432	-46	-35	749
5496	681	475	980
5232	-227	37	727
5368	461	334	463
5412	-333	-106	1421
5508	-37	3	333
5244	-74	-1172	753
5624	188	-314	1107
5488	-314	680	685
5600	-719	-150	760
5448	321	378	969
5584	-261	290	380
5432	4	507	647
5288	427	62	1180
5580	35	-566	519
5544	139	-623	863
5428	-693	-181	804
5272	-461	351	817
5600	-76	464	824
5544	-529	713	1074
5488	-568	-34	367
5564	299	-152	870
5424	767	302	872
5236	196	-825	625
5252	226	-19	826
5544	-462	-161	818
5620	285	145	736
5404	180	438	965
5236	-356	426	1108
5316	-192	-100	364
5444	-14	155	1013
5252	408	-49	748
5544	-451	-919	660
5620	1018	-179	976
5488	457	-355	768
5604	-637	456	745
5428	132	292	946
5588	277	512	850
5580	-406	430	335
5428	293	-75	1470
5604	283	192	302
5584	658	-1193	741
5492	553	-462	1070
5484	-235	-299	583
5624	445	209	686
5408	345	446	984
5584	-35	175	565
5544	115	586	430
5580	399	-30	1476
5428	759	-148	641
5604	-123	-916	751
5448	962	-512	1028
5312	181	262	737
