delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5592	1025	-2555	1425
5528	-1105	-1588	4555
5544	-465	602	2897
5596	1197	-547	897
5584	1296	-474	4200
5468	-927	9	1133
5308	1623	-421	2697
5640	-650	-1392	4007
5484	422	1744	637
5580	-1157	-1670	2980
5540	684	1129	2746
5632	1667	-231	612
5588	-823	-1375	3892
5492	-200	1963	2028
5296	431	210	2169
5568	604	-2649	2841
5648	1472	-929	1155
5468	-845	-39	4191
5552	-1460	-1199	1889
5368	-159	-366	82
5492	-328	-1311	3022
5664	1603	586	1970
5452	-1968	2384	790
5300	-1220	674	4800
5648	348	-59	928
5472	-15	1375	2005
5592	-2175	320	2832
5652	604	1767	-14
5528	234	-2347	3324
5472	1778	-1865	2484
5348	-1908	130	467
5588	1417	-649	3168
5476	-1499	325	2313
5296	396	280	1081
5572	-993	42	4013
5540	1488	1754	696
5624	-588	2149	2104
5480	1804	1	4728
5340	972	875	1207
5568	1175	-1251	3453
5532	1512	-1228	2554
5696	370	-625	1310
5420	-1278	-898	4417
5312	-996	1455	2694
5644	-994	-144	1363
5436	-682	-1346	2473
5312	-949	826	390
5532	-474	-964	2198
5256	1444	-2283	2683
5704	979	-482	-64
5484	571	-200	2842
5592	1152	814	2726
5628	1224	2116	1196
5512	-316	-919	4216
5608	-1240	1512	2749
5524	1713	1036	1343
5516	-1669	-929	4496
5660	-716	1234	1385
5480	565	81	3356
5684	-744	-2005	4024
5492	1093	272	596
5572	-516	226	3007
5596	114	-543	2053
5584	-424	-873	499
5548	-574	1064	3823
5476	372	394	2121
5396	1414	-348	1605
5468	-368	-545	2220
5608	1205	978	165
5568	540	650	3890
5576	486	-35	2255
5528	-577	808	-286
5552	-1029	-1351	3032
5540	-301	1271	2268
5300	1143	356	1143
5632	-481	-456	2907
5604	-215	1264	850
5596	135	-976	2347
5412	1485	517	3755
5280	-450	-721	198
5372	-332	68	3381
5540	85	16	3185
5632	1980	1770	651
5452	-194	-95	2864
5552	921	-345	2420
5588	388	-1213	1123
5644	551	-3340	3397
5468	-1137	1550	702
5300	710	1337	2618
5632	-1919	-1361	3752
5540	676	-372	242
5536	-1179	825	2588
5644	1187	-1673	2855
5528	135	1988	1179
5624	-1874	-2097	3471
5548	-79	90	2918
5480	-2581	-827	1588
5660	-267	-800	4160
5432	481	264	1300
5396	830	553	3596
5572	184	-460	4296
5592	915	1726	552
5572	36	-540	3899
5536	99	606	1898
5516	951	236	465
5516	-306	-716	3535
5264	688	1456	2108
5276	1493	1331	1631
5684	37	-67	4160
5476	1043	-124	1218
5640	-210	161	3701
5596	1162	-1687	2824
5520	1394	2237	313
5456	-735	-1023	3943
5316	-980	764	2193
5588	-577	-558	547
5548	443	733	5709
5580	-69	1301	2068
5592	1163	-319	1947
5648	547	1307	3008
5452	830	-38	346
5652	-220	-583	2224
5600	1052	98	2422
5576	1492	940	1282
5456	1187	-360	1364
5640	-548	683	2568
5592	1660	1075	1723
5512	-576	-2846	4500
5492	1399	1377	1720
5336	163	999	1670
5568	1444	-1140	2579
5528	200	402	1386
5572	1387	-1019	1869
5528	1173	-755	2395
5296	-674	1124	360
5584	800	-403	2350
5592	-67	958	2379
5540	-385	-103	1569
5608	477	-2213	2221
5644	1060	2207	572
5452	537	448	2585
5576	875	-407	3377
5584	109	463	1113
5576	421	-1749	1130
5640	1038	776	2980
5460	228	727	713
5340	64	-384	3795
5528	572	-374	2195
5592	-928	-524	769
5548	-1665	-1468	3183
5544	1397	952	708
5576	201	390	693
5516	-293	-837	2237
5436	-698	423	1617
5416	-1511	-1099	868
5312	1217	192	2904
5632	871	-552	857
5528	267	129	1419
5572	885	-1208	2349
5644	878	382	1387
5572	736	-1181	1849
5472	2623	954	755
5572	160	98	1393
5520	-1637	-1638	2494
5364	1314	-436	1253
5468	2449	69	1115
5400	1115	-383	2216
5472	-170	310	599
5532	-1098	-1112	1217
5548	696	-818	2280
5412	-282	957	13
5476	-1317	-1245	649
5664	2376	-896	2147
5468	-709	-788	491
5544	673	470	422
5696	-429	884	1378
5416	347	266	573
5348	1904	612	1291
5624	1322	1356	1004
5508	-635	-776	1060
5612	1958	-338	2187
5464	-627	-527	481
5552	966	-350	-12
5316	751	-588	2198
5584	841	-1033	-150
5608	-506	919	975
5532	1058	251	2858
5632	1601	797	580
5568	393	-1524	476
5412	971	1032	1495
5288	-50	471	1562
5364	1531	-1622	1947
5520	116	1255	1008
5632	-844	-2595	558
5432	486	-1483	2797
5292	-483	1050	615
5596	-137	-244	-18
5676	1645	-461	1809
5476	-946	-200	487
5544	1394	-427	786
5588	1760	1774	2060
5512	1471	-1651	671
5296	991	-246	-14
5660	-461	-735	2121
5432	-672	-1502	907
5256	-819	2199	1311
5300	2131	1547	2401
5688	1921	2618	1672
5508	-940	-510	744
5548	223	771	1228
5576	173	-1343	703
5588	-218	-1391	2639
5488	1382	-499	513
5412	-81	-122	422
5492	1338	-1708	2335
5528	-933	119	768
5532	1886	-460	-530
5252	43	799	2376
5348	-932	1603	924
5592	585	-81	674
5476	2048	429	1752
5632	1513	-199	711
5584	279	-1166	123
5592	938	1200	1856
5452	723	-1531	852
5412	592	-1259	1094
5472	-213	87	2599
5532	-689	-285	1259
5612	162	-1770	1702
5640	-254	14	1188
5532	-1268	-1477	225
5492	-1940	-788	2518
5660	1098	-472	1451
5472	-442	-1343	-540
5268	1367	855	2764
5624	243	576	1464
5580	871	-460	-496
5540	1297	-155	2891
5648	-154	-622	814
5548	2184	-1811	993
5468	706	914	2314
5576	-1785	-1539	611
5660	878	220	1023
5576	-325	1337	1808
5472	885	-316	782
5532	687	-795	1110
5412	1207	1586	2534
5512	349	498	656
5520	-807	-1764	363
5600	882	419	1104
5576	-425	-1471	890
5604	1428	-440	2694
5468	-1156	1463	1020
5360	12	-240	-933
5484	-1222	-195	2344
5664	900	1322	560
5572	-362	-3102	-271
5444	1255	-2488	1984
5356	484	966	906
5512	1167	-636	-12
5544	-646	262	2716
5596	2249	-655	-54
5544	-713	-766	1036
5256	1570	-1691	2744
5356	583	205	54
5456	818	-1131	1169
5296	-474	897	2563
5592	-64	-1720	-68
5508	105	-420	-166
5368	1395	264	2814
5452	359	1587	811
5404	-1232	-1969	1229
5540	-678	-131	2683
5608	623	-559	1328
5584	-98	312	257
5484	2108	21	2377
5576	-2276	-2491	427
5484	434	-447	-325
5368	-367	-963	1627
5608	-788	-466	649
5548	-276	-2054	396
5608	1212	393	1547
5452	1314	1202	1580
5516	-769	-749	640
5372	408	-135	1704
5584	-1518	-463	1237
5492	-568	-281	1660
5604	1433	-480	1487
5648	-918	-167	745
5544	1160	-1564	2216
5524	1329	2713	258
5632	-2132	-896	298
5432	-2140	-1113	2943
5368	761	155	1109
5576	1503	-1485	182
5468	-2095	-1541	2715
5548	15	290	1034
5344	723	418	513
5516	149	-929	2680
5588	-1268	585	1174
5648	-531	-1286	-665
5448	-815	-100	3145
5256	-671	-941	-298
5388	-1483	-1292	-525
5500	-98	-1210	3316
5608	163	863	1326
5568	-1176	567	473
5596	-804	520	3128
5592	1076	-775	777
5412	2036	-463	207
5416	1738	-280	2724
5468	-356	-111	321
5552	-231	-1855	-1187
5672	2257	702	2637
5452	-647	247	91
5656	-2514	-1240	269
5488	-1245	-907	2092
5664	1076	-321	-579
5600	-68	-757	853
5496	-2995	-1852	2403
5544	277	-1445	-215
5604	976	-2128	846
5584	-137	326	2805
5588	816	-1181	-651
5428	-1477	-886	1739
5312	780	-683	2324
5588	612	-930	27
5652	-91	-1893	916
5548	86	367	2643
5524	-2277	-2647	-817
5500	-434	36	782
5304	1845	-928	2415
5644	1067	-1620	-183
5480	-1740	-1248	2035
5548	149	-2658	2105
5292	1190	-776	-1035
5656	-1057	442	26
5540	-1345	-428	1802
5484	-1134	-2418	-695
5680	-284	-463	1787
5428	748	-1406	2777
5292	317	-1489	-458
