delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5660	1	0	804
5464	1	-1	812
5656	7	-4	794
5480	13	-14	789
5592	3	9	798
5652	5	5	781
5468	4	3	793
5652	2	2	817
5460	6	-11	805
5360	6	1	812
5480	8	-2	797
5652	12	6	804
5528	3	5	801
5640	4	3	794
5468	2	5	800
5644	6	15	804
5524	-7	14	796
5544	0	-5	775
5656	7	-4	791
5484	6	8	794
5640	5	5	789
5476	-1	7	790
5652	10	6	801
5520	5	-1	788
5660	-6	5	804
5476	3	3	779
5652	5	-2	811
5476	14	-8	797
5544	10	-3	779
5360	5	-7	800
5480	5	-2	793
5656	2	8	788
5468	-2	3	780
5304	1	7	796
5648	-1	-1	797
5496	4	1	796
5648	2	-4	805
5480	1	2	810
5640	13	-3	792
5540	1	-9	802
5480	9	-10	802
5360	1	6	788
5476	0	1	785
5296	7	-5	777
5656	1	-2	791
5480	4	2	797
5644	7	-11	796
5540	-2	8	792
5476	7	11	802
5352	2	-8	795
5484	2	1	793
5296	10	2	797
5520	0	8	795
5296	2	7	801
5644	0	3	810
5464	8	3	808
5296	5	2	801
5648	0	10	795
5524	0	3	795
5652	-6	3	799
5480	3	4	818
5648	3	-5	795
5480	3	6	800
5644	-6	8	786
5480	5	0	807
5644	9	4	795
5468	-6	-4	797
5320	1	6	783
5648	1	5	799
5468	9	6	808
5636	6	8	802
5480	8	1	810
5644	9	-7	795
5484	6	-3	804
5304	-1	-3	801
5664	8	-7	815
5484	5	-12	791
5536	2	-4	789
5660	4	6	790
5468	6	-4	794
5304	0	-4	793
5660	6	1	784
5468	0	9	812
5648	7	-1	795
5480	-1	-5	798
5668	9	-7	786
5484	9	3	806
5644	1	11	790
5528	7	5	790
5472	-1	14	787
5364	5	-1	804
5484	0	4	807
5296	-1	3	793
5652	2	2	806
5472	6	2	810
5644	0	13	793
5528	2	1	796
5644	-153	-227	451
5548	276	-2430	1427
5472	-173	-307	219
5376	127	566	1075
5576	58	-26	761
5588	38	155	572
5464	26	-197	1100
5532	51	-51	666
5244	0	114	851
5412	-7	-120	832
5432	-20	-23	718
5268	-13	191	828
5304	11	93	815
5576	14	-104	774
5652	0	-65	807
5536	16	14	785
5584	28	-11	850
5588	20	-32	800
5416	8	-26	787
5368	-3	-21	827
5548	-1	-58	784
5548	-5	-9	789
5504	0	66	811
5352	-2	51	784
5540	4	0	781
5652	0	-24	792
5536	7	5	795
5476	5	29	808
5348	11	3	803
5520	12	-24	797
5596	12	-51	808
5588	-3	-48	797
5556	5	-5	791
5480	6	38	791
5348	2	33	791
5532	-6	-16	805
5548	0	-6	810
5660	6	20	799
5524	3	38	799
5524	-2	14	797
5548	6	-23	803
5360	2	-42	796
5536	8	-26	792
5540	5	10	782
5524	6	0	804
5296	8	-3	792
5656	1	-17	806
5536	1	-15	808
5540	6	14	777
5524	13	30	796
5404	3	10	810
5528	6	-11	821
5536	89	-543	594
5652	-529	-2607	1289
5484	-2	686	323
5600	8	323	1015
5468	232	-47	932
5296	-25	40	549
5600	-7	-510	1012
5660	21	-113	761
5476	-2	152	801
5604	-19	232	768
5484	-17	120	714
5304	-12	4	828
5544	-4	-47	859
5548	2	-75	775
5364	12	37	758
5580	14	98	782
5576	27	-22	839
5596	7	-118	811
5420	5	-62	786
5364	-1	-8	820
5496	1	14	787
5700	3	32	776
5532	-2	77	794
5536	-6	29	787
5548	-10	-34	794
5608	4	-30	811
5536	10	26	800
5580	16	26	827
5576	16	-17	805
5596	16	-46	798
5588	4	-53	802
5544	1	-33	811
5532	6	1	795
5652	9	40	784
5524	-8	19	781
5540	-2	-15	813
5552	0	-7	797
5656	1	26	790
5528	1	29	799
5524	9	-20	807
5544	9	-40	819
5532	5	-36	803
5360	5	-3	783
5488	11	6	785
5344	12	5	786
5524	4	-6	794
5656	0	0	792
5468	-7	11	796
5540	2	23	787
5356	4	12	807
5524	5	8	796
5652	4	-24	800
5532	5	2	815
5464	5	2	784
5296	8	-6	803
5656	-1	-6	792
5492	10	-14	792
5600	7	-3	807
5648	2	5	788
5476	6	13	789
5524	0	12	784
5352	8	4	797
5476	-3	15	793
5364	3	-2	787
5476	-774	-2147	1113
5668	-160	418	612
5532	4	-574	615
5600	182	-785	1228
5584	-72	401	723
5480	-24	429	722
