delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5588	26	-23	814
5416	37	-15	820
5424	43	-16	807
5416	49	-46	827
5416	25	-31	808
5420	25	-2	790
5360	9	18	776
5524	8	-11	800
5544	-8	-54	787
5548	-19	-36	816
5260	-19	12	786
5248	-12	23	791
5248	9	-10	804
5364	15	-20	791
5592	26	-28	817
5596	33	23	806
5576	46	-22	823
5416	43	-3	822
5368	13	16	790
5576	4	-26	816
5536	-3	31	782
5548	-16	25	803
5596	-16	8	791
5544	-11	-6	813
5552	-19	-3	792
5560	-19	80	777
5596	-12	30	815
5596	-10	-3	824
5556	13	2	780
5520	0	13	822
5532	16	28	785
5404	19	28	780
5400	22	-28	816
5424	27	-24	794
5416	25	-23	819
5416	-7	42	781
5548	10	48	806
5572	-11	30	815
5420	-1	-66	773
5384	-4	-52	817
5548	7	-8	806
5476	5	31	775
5360	10	27	815
5576	-4	-6	804
5492	0	-67	787
5540	-11	-51	828
5264	-8	-76	787
5372	-9	70	780
5548	-8	16	818
5536	19	-38	779
5592	19	-67	809
5596	20	-69	804
5588	23	21	794
5584	13	76	802
5400	-16	14	803
5424	-4	-18	813
5552	-8	-46	798
5548	-6	-29	789
5552	3	-3	817
5480	22	11	777
5404	-3	-30	803
5552	-5	-51	809
5548	-3	-28	794
5556	-11	20	795
5596	-6	63	788
5540	-8	34	819
5548	9	2	798
5468	7	-5	813
5304	20	-21	795
5600	63	35	841
5572	3	4	789
5652	9	2	815
5460	-7	-33	800
5556	18	-35	800
5588	3	27	811
5524	13	27	786
5408	-9	60	832
5540	-3	-50	816
5556	-10	-19	783
5608	-19	28	812
5420	-3	1	783
5304	5	-28	808
5540	3	-33	789
5364	30	-29	787
5596	25	-21	810
5416	16	-28	808
5416	3	-30	811
5540	-4	-9	814
5492	3	2	799
5644	2	28	797
5528	8	-7	828
5480	4	-8	793
5304	15	-125	796
5656	0	1	814
5468	-9	42	797
5544	-19	-14	816
5260	6	-3	816
5304	-3	-36	806
5548	2	22	781
5532	17	-8	809
5360	30	54	800
5576	-20	43	817
5600	-3	-36	830
5548	-1	-15	779
5552	0	3	820
5468	-8	-3	813
5316	2	41	774
5532	3	23	805
5348	11	-11	795
5592	6	-49	812
5540	-1	12	821
5540	-10	24	777
5600	-9	29	804
5536	-6	-2	794
5492	-1	-36	785
5388	5	-8	809
5476	40	1	831
5700	20	-6	787
5536	12	-13	828
5592	7	39	786
5528	-18	-86	800
5608	0	63	816
5532	-3	43	793
5536	7	-14	800
5540	4	-84	809
5536	29	-54	791
5244	9	-39	813
5360	6	38	824
5532	-13	30	744
5592	-30	-37	848
5616	-10	13	779
5420	12	-55	758
5416	2	-26	824
5540	17	67	803
5576	4	55	835
5532	16	-34	822
5592	0	-73	773
5536	-6	-52	804
5552	-12	43	840
5596	19	20	781
5580	11	0	794
5524	-3	-3	821
5672	4	-51	759
5532	-7	13	822
5540	-18	54	790
5600	-10	50	817
5596	5	12	804
5528	6	-27	788
5536	11	-35	806
5596	22	23	761
5576	-1	17	861
5548	29	-9	814
5532	-10	49	738
5596	11	57	825
5580	7	-85	832
5536	-6	-67	738
5556	-12	-39	824
5608	-4	66	790
5548	9	-7	784
5652	8	-84	865
5540	-23	40	766
5596	-12	5	782
5536	-7	-8	836
5500	-4	0	767
5656	-3	-48	804
5552	20	-35	790
5592	10	3	819
5524	17	-38	772
5592	13	27	834
5576	17	40	795
5584	13	2	794
5520	20	-40	785
5596	17	-55	812
5588	17	-63	816
5424	23	140	717
5288	-17	17	862
5592	-25	-45	797
5616	-13	-60	758
5608	-13	-53	858
5436	-13	50	760
5252	28	7	795
5348	-11	110	838
5480	6	-24	736
5364	23	-116	871
5476	-18	24	782
5248	8	76	797
5352	9	31	798
5524	11	-38	799
5600	24	-44	821
5588	25	-57	810
5596	-6	17	808
5536	-5	24	780
5548	7	-2	801
5652	-13	22	790
5420	8	-14	821
5368	-8	32	814
5536	-14	6	797
5548	-5	-67	786
5548	25	-11	826
5588	24	29	810
5584	-4	-20	819
5548	17	-65	797
5596	13	-64	807
5588	38	47	788
5584	-3	48	833
5540	13	-28	817
5596	30	-90	812
5592	-6	-13	780
5548	16	89	802
5580	11	87	802
5576	7	-2	810
5488	9	-67	801
5532	-19	-63	819
5260	-4	-33	785
5376	14	15	801
5580	2	-12	745
5536	6	33	843
5528	4	-39	791
5536	2	-46	807
5540	19	109	809
5292	27	16	781
5572	18	-25	853
5600	26	9	791
5520	29	-17	833
5240	44	-51	868
5416	-17	29	775
5428	-16	80	806
5248	-35	-64	765
5260	-12	1	814
5364	-6	95	774
5544	9	-66	748
5536	54	-17	836
5592	15	-24	778
5596	-4	-65	837
5548	13	-44	828
5596	-15	23	783
5596	-12	6	821
5544	11	11	792
5576	-14	-87	784
5616	-5	77	832
5540	11	-81	853
5596	26	144	704
5464	36	99	931
5576	57	31	723
5584	21	-144	871
5644	20	-131	803
5480	-12	-66	769
5608	1	48	829
5524	-26	9	815
5544	-15	55	781
5248	-31	48	810
5248	-3	41	829
5364	-28	22	773
5600	19	-22	808
5588	49	58	845
5408	26	37	752
5404	-11	-160	810
5488	27	-48	834
5596	35	-7	778
5536	10	-28	845
5596	0	-20	784
5536	-16	91	785
5592	-52	32	814
5604	2	16	735
5524	4	36	785
5532	46	26	818
5400	17	-42	806
5416	5	-46	815
5368	26	-21	814
5588	47	-6	808
5536	35	-20	812
5596	-3	-22	723
5548	-18	-61	831
5616	16	-15	780
5416	-9	30	812
5364	-28	81	797
5600	-67	11	783
5592	-6	-22	806
5556	-33	-62	786
5436	31	-90	834
5244	-12	5	752
5364	93	-6	879
5544	71	59	820
5572	57	-11	827
5596	22	-48	810
5592	26	-46	786
5596	-16	25	829
5420	13	7	790
5348	1	48	780
5524	-9	-7	822
5676	-44	-19	790
5436	-16	-79	779
5616	19	18	803
5572	-30	18	810
5600	29	-31	826
5592	32	32	771
5584	13	-71	801
5588	24	6	833
5520	-25	126	746
5488	37	67	860
5576	25	-33	766
5596	-9	-23	798
5548	-18	-25	821
5616	-2	-41	750
5548	-2	-1	803
5492	-1	23	801
5376	-37	-94	780
5608	11	-43	847
5416	24	101	751
5296	-15	188	793
5656	-20	4	817
5544	-5	-86	804
5548	46	-98	812
5588	45	-151	793
5480	40	-21	841
5240	13	15	761
5404	39	72	835
5580	-58	75	869
5424	0	73	766
5352	-4	-79	820
5556	1	-64	821
5532	-9	-20	783
5548	11	-32	844
5596	73	74	818
5576	38	-38	839
5596	22	-22	812
5592	-27	-62	779
5616	16	26	820
5576	-34	93	761
5420	1	61	790
5356	18	-17	825
5592	52	-78	803
5416	26	-22	792
5424	-1	16	874
5540	-17	26	772
5600	6	81	756
5524	-56	-36	833
5608	-3	-57	757
5560	-13	-39	758
5436	22	6	836
5344	-17	-41	820
5616	-23	0	754
5540	15	66	835
5580	-80	83	778
5596	-20	-41	782
5444	19	-48	831
5240	7	-63	781
5360	2	28	791
5528	29	-3	881
5540	16	-29	800
5588	-5	6	803
5660	-14	-62	803
5436	-5	35	787
5364	-23	16	804
5600	-1	-57	741
5544	5	-40	840
5544	73	101	834
5636	-12	-1	748
5552	11	-8	861
5540	4	-27	773
5536	-9	-62	807
5556	6	-13	804
5532	23	15	791
5584	19	3	845
5520	16	-68	825
5416	25	-1	764
5540	-26	248	810
5480	-9	121	736
5592	-73	-128	817
5500	-46	-65	787
5260	-31	-48	759
5264	-31	13	828
5420	1	123	803
5416	29	40	795
5400	22	-75	830
5420	-58	-148	784
5316	2	-89	851
5540	-10	122	747
5656	-30	153	839
5488	4	40	774
5696	-16	-87	804
5440	-14	-83	827
5608	31	2	774
5524	57	75	867
5232	21	-57	784
5416	2	56	767
5524	-5	-70	834
5556	16	-80	799
5592	-4	-12	832
5556	48	-1	783
5536	-32	80	806
5592	12	-38	790
5596	-23	-151	822
5492	-64	28	788
5600	-1	-28	813
5548	72	92	762
5584	78	60	841
5572	54	-39	852
5600	54	-26	776
5588	7	-46	866
5536	14	-36	759
5596	12	32	796
5576	42	19	895
5580	14	-4	721
5536	-34	-82	836
5616	-23	-25	783
5436	-3	-44	852
5372	-24	68	792
5600	-34	154	829
5484	-18	72	704
5592	-16	-60	838
5616	18	-81	803
5416	14	-52	775
5424	34	2	852
5520	37	22	781
5576	22	-127	834
5480	57	56	744
5404	-21	40	836
5420	61	218	824
5288	45	-42	770
5596	-51	-114	836
5492	-29	-149	793
5324	-4	27	769
5540	-42	185	837
5652	-5	4	769
5492	15	-170	785
5644	-22	-162	770
5496	-18	-34	810
5608	-17	85	787
5604	12	154	807
5460	30	27	806
5400	35	-52	796
5424	3	-137	781
5420	30	15	867
5404	34	153	756
5288	-12	100	873
5660	16	-151	742
5472	-40	-78	826
5260	-58	-22	722
5264	33	-8	852
5540	-69	73	806
5420	-48	-29	788
5436	-27	-156	837
5320	-37	85	765
5596	-41	136	802
5480	-52	120	796
5660	-8	-49	735
5548	19	-123	862
5480	41	-55	768
5416	29	-14	828
5416	48	100	830
5288	-35	-13	769
5612	4	-33	834
5536	-22	-37	776
5616	-17	-54	797
5608	7	81	780
5532	-13	47	853
5592	-24	95	774
5604	54	-48	834
5416	-33	-28	783
5260	2	-141	798
5248	26	-17	807
5420	2	-31	841
5536	36	-12	771
5592	-12	165	802
5484	3	-61	836
5536	60	-26	734
5596	35	-1	883
5532	52	4	836
5348	23	168	759
5468	-64	-19	794
5264	51	-98	806
5240	-16	-126	791
5320	-16	-85	805
5608	67	-7	856
5540	-31	91	771
5596	-30	129	833
5484	28	-111	780
5300	-24	5	781
5540	0	11	821
5704	59	126	782
5460	64	-22	880
5596	21	-41	759
5592	-12	-29	791
5616	-30	48	837
5420	-41	-7	781
5380	-30	-57	789
5436	-42	-129	779
5324	-50	-106	703
5660	25	199	788
5468	17	103	869
5636	-11	81	802
5600	-79	-164	747
5492	-72	-81	823
5608	48	83	765
5580	26	-9	848
5536	50	167	784
5640	25	-80	803
5416	0	-117	834
5248	-41	-129	767
5316	-9	188	768
5604	-26	152	835
5480	-24	53	717
5248	51	-202	845
5300	7	-177	823
5600	-6	-61	735
5548	11	-74	924
5592	14	225	691
5640	40	215	882
5464	12	-102	771
5648	14	-224	829
5476	-28	31	810
5248	5	29	761
5352	-2	186	776
5596	26	89	849
5580	2	-68	832
5536	12	-247	835
5476	-20	-50	761
5264	-47	65	865
5244	-30	184	680
5308	30	58	819
5576	6	-98	839
5540	13	2	832
5696	75	-31	791
5420	-6	28	823
5364	53	13	842
5576	-11	136	726
5488	-80	-33	799
5608	-12	-33	758
5616	14	-143	854
5472	-39	-144	803
5672	-45	133	732
5480	-45	172	821
5652	-56	57	760
5600	3	-47	814
5536	59	-194	845
5480	-26	-34	762
5608	122	88	811
5636	38	43	778
5576	52	-22	820
5416	27	-174	832
5308	-8	-55	750
5548	-10	41	868
5592	6	229	801
5592	-14	-48	768
5612	-43	-98	828
5440	19	-210	734
5296	70	-78	865
5592	4	-1	733
5660	-30	362	816
5480	-27	59	775
5600	5	-187	828
5592	-71	-163	824
5500	15	31	773
5576	28	107	737
5636	-22	93	840
5600	2	-86	843
5532	34	-111	819
5480	-78	-144	783
5664	-39	55	745
5600	-10	166	778
5480	-19	69	773
5600	-4	-103	824
5604	-7	35	776
5540	40	-133	896
5480	50	79	695
5400	-7	60	858
5540	-14	43	832
5600	-3	-149	776
5428	-109	-217	830
5552	6	-69	699
5364	43	170	777
5460	-65	112	879
5308	29	76	778
5584	0	-135	777
5596	13	-103	830
5480	-3	-4	771
5316	46	171	798
