delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5548	-510	-1199	3852
5664	-818	50	3148
5532	833	-706	1218
5592	-993	-1771	4561
5484	-42	-1359	1091
5612	-1220	-261	2055
5656	-338	-1026	4682
5492	-777	729	375
5536	-395	-1603	4313
5660	782	-2567	2993
5472	1467	-686	-416
5600	-2251	-1102	4510
5548	-252	-183	2449
5600	-392	-1771	726
5608	553	-857	5522
5588	964	-21	471
5472	1052	-108	1399
5648	-139	-500	4830
5600	1140	-530	-578
5432	133	866	3361
5400	1159	45	3938
5568	-131	1112	1380
5476	905	627	4521
5572	-57	-330	2648
5552	-417	-875	-304
5564	-493	-1493	5024
5664	-2718	414	3131
5476	-488	359	336
5532	-1312	-893	5426
5316	-115	1457	-193
5604	174	-831	1899
5584	-1076	-961	4751
5492	-194	1164	-674
5604	1718	-223	4113
5648	439	-879	2486
5584	-141	-473	-2019
5448	-81	885	4859
5536	877	-615	2162
5412	353	-1378	179
5416	-273	-2005	5094
5316	425	823	2651
5568	227	-195	310
5536	76	-1360	4438
5584	585	1882	-62
5528	1788	-443	944
5420	-189	-3097	3756
5484	884	2015	1447
5632	434	-721	2535
5588	-791	-1638	2602
5484	-554	2029	-181
5608	728	-103	3691
5584	-1460	1692	2693
5532	-2157	-287	-138
5620	341	285	4477
5576	-613	757	382
5532	-669	1250	382
5596	331	-506	5190
5584	-224	870	-444
5548	397	-643	2809
5592	788	-164	4351
5412	511	-896	-813
5368	-409	-2130	4649
5492	1715	-656	2062
5292	-258	114	669
5532	-1154	-1721	4872
5548	591	-523	2078
5412	-1249	-593	35
5548	-1332	-409	5132
5488	208	348	1541
5572	-890	-432	437
5552	-1172	-54	5034
5608	2064	838	664
5576	-1269	-1076	570
5484	-24	-546	4562
5372	2123	2275	1334
5516	63	-2453	3953
5584	-1000	-650	3192
5668	423	-869	-759
5540	-1299	-464	4893
5484	-1398	-1389	2207
5548	1033	-801	1164
5640	658	-1307	5289
5476	-2144	-503	3260
5308	-838	-1314	614
5604	-1288	243	5471
5476	1243	-1206	1694
5348	281	970	2137
5572	-388	-1173	3948
5492	-1118	689	985
5240	-550	715	1777
5416	-1206	-811	4087
5484	-379	1312	972
5596	-116	617	1254
5588	-1977	610	2730
5476	999	218	759
5344	-1869	-1486	3837
5540	314	-446	1436
5592	-613	-2358	-380
5620	-802	-646	3567
5432	64	271	3376
5348	-472	-1697	323
5600	105	-3332	5803
5476	-923	605	2073
5588	-1736	-1107	1436
5544	-745	-1661	3730
5664	-289	2206	1213
5472	2514	-298	878
5592	-1622	-53	3908
5604	640	-1580	1456
5644	238	354	1186
5572	-498	1068	1692
5476	-366	-258	1457
5604	-57	-1717	2117
5608	1426	1560	2727
5508	236	465	919
5516	-1913	-1029	4641
5548	504	1266	2491
5280	-246	-912	1172
5252	-229	-84	4319
5376	-209	636	862
5540	2168	3	1280
5512	-507	-2590	3826
5668	604	1555	306
5572	130	-1256	2066
5468	-211	-235	4301
5608	950	818	1308
5568	151	597	734
5524	166	-322	3052
5580	869	722	174
5524	-1194	-1168	960
5312	-981	-679	1565
5604	-1508	1651	473
5476	-220	-5	3161
5316	465	534	2463
5572	-193	-2015	-13
5568	92	430	3684
5516	74	-60	3336
5300	-1246	669	220
5596	1157	-1366	2847
5524	32	811	2322
5696	454	-255	921
5528	1733	-488	3898
