delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5520	-60	14	836
5600	15	0	862
5520	3	123	652
5584	1	176	840
5588	45	-5	916
5536	30	-50	669
5596	-19	-81	919
5436	3	13	722
5352	77	165	735
5468	-84	65	846
5248	17	-177	680
5296	-13	-108	923
5492	78	41	809
5400	-32	30	719
5428	35	206	809
5288	30	-19	898
5592	-17	-9	769
5560	-55	12	809
5592	49	-26	952
5596	52	-16	593
5420	-20	122	917
5308	10	174	865
5640	-32	-118	744
5492	-22	-2	842
5560	-48	-110	764
5488	-21	1	704
5368	1	-15	966
5540	68	128	745
5460	7	245	801
5236	-13	53	859
5248	80	-128	679
5300	34	-93	877
5592	6	40	872
5528	29	148	690
5640	15	31	873
5576	83	-96	848
5416	55	-48	834
5252	-60	-112	870
5316	70	38	754
5572	-44	142	775
5488	39	156	900
5288	-52	101	633
5656	15	-180	839
5476	-11	106	844
5484	59	-141	903
5296	101	67	572
5640	-32	34	953
5596	62	39	702
5400	43	33	751
5232	-39	54	858
5424	-67	-171	740
5492	8	-96	813
5540	-22	143	802
5484	25	279	736
5288	22	105	932
5640	50	-108	786
5472	-25	-41	709
5612	-30	17	879
5600	10	69	643
5576	-31	23	833
5424	12	-21	913
5244	34	-88	674
5240	-11	-9	784
5380	74	-133	846
5472	4	112	740
5592	14	222	841
5636	-30	77	824
5428	47	-144	722
5296	-15	87	904
5596	78	-30	958
5596	-31	62	573
5420	32	96	1112
5284	23	61	662
5584	39	-102	801
5644	-82	60	716
5420	13	36	727
5236	16	-132	898
5300	53	57	915
5576	-24	179	596
5660	-41	156	901
5480	69	57	808
5584	22	-70	716
5592	-23	0	943
5540	0	-10	638
5540	-30	63	733
5596	-49	-16	836
5440	6	-73	730
5536	72	24	898
5400	-79	40	754
5428	51	-9	706
5364	14	33	875
5576	12	249	727
5468	-29	-66	859
5608	24	-6	864
5540	-22	-197	824
5492	78	155	688
5636	-37	156	1009
5544	27	37	684
5572	1	-72	849
5544	-43	-63	853
5608	41	-34	688
5416	-51	190	841
5312	9	25	781
5524	62	76	763
5232	-1	85	909
5364	39	52	643
5584	19	-131	865
5472	-3	-8	833
5500	73	122	664
5288	-7	66	966
5536	-20	-55	705
5260	35	-18	760
5244	-35	-124	886
5324	65	24	773
