delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
1604	-51	92	1009
1604	-45	94	1001
1603	-55	93	1000
1604	-51	87	1012
1604	-51	90	1007
1603	-53	89	1009
1603	-49	86	1004
1604	-54	88	1010
1603	-52	90	1009
1603	-53	87	1000
1604	-53	93	1002
1603	-54	90	1005
1603	-54	91	1011
1603	-54	93	1008
1604	-52	87	1007
1603	-53	87	1010
1604	-51	91	1002
1603	-57	89	1006
1603	-55	88	1001
1604	-48	89	1006
1603	-53	88	1006
1603	-52	88	1003
1604	-52	84	1011
1603	-53	91	1001
1603	-49	92	1008
1604	-52	87	1003
1603	-53	87	1007
1603	-52	86	1000
1604	-48	87	1007
1603	-52	88	1005
1603	-53	86	1003
1604	-53	88	1003
1603	-52	87	1005
1603	-50	90	1009
1604	-55	90	1006
1603	-53	91	1006
1603	-52	88	1004
1604	-53	88	1011
1603	-52	89	1006
1603	-52	86	1008
1603	-49	87	1012
1603	-52	88	1004
1603	-52	90	1002
1604	-56	88	1001
1603	-53	90	1011
1604	-56	87	1008
1604	-52	86	1010
1603	-50	89	1005
1603	-48	88	1012
1604	-51	88	1004
1603	-50	88	1012
1604	-51	90	1011
1604	-51	88	1008
1603	-54	87	1009
1603	-53	86	1003
1604	-53	87	1008
1603	-51	87	1008
1603	-54	88	1007
1604	-50	89	1005
1603	-50	88	1009
1603	-54	88	1006
1604	-53	91	1007
1603	-53	92	1007
1603	-51	86	1005
1604	-53	87	1005
1603	-48	90	1010
1604	-52	84	1008
1604	-53	91	1005
1603	-47	88	1011
1604	-55	87	1006
1604	-52	86	1008
1603	-50	85	1007
1603	-58	88	1003
1604	-49	87	1007
1603	-46	92	1003
1603	-52	92	1012
1604	-52	88	1006
1603	-48	88	1004
1603	-51	89	1004
1604	-51	88	1011
1603	-55	88	1010
1604	-54	89	1007
1604	-51	90	1006
1603	-56	90	1003
1603	-44	86	1001
1604	-49	90	1006
1603	-53	89	1009
1603	-57	88	1010
1604	-50	89	1009
1603	-56	89	1005
1603	-54	89	1005
1604	-51	91	997
1604	-51	87	1004
1603	-53	92	1002
1603	-56	89	1009
1604	-50	87	1003
1603	-51	90	1002
1603	-52	90	1008
1604	-52	88	1005
1603	-55	94	1008
1603	-55	85	1008
1604	-48	93	1008
1603	-46	87	1003
1603	-51	90	1004
1604	-47	91	1000
1603	-47	93	1010
1603	-53	89	1008
1604	-51	87	1002
1603	-56	88	1011
1603	-47	87	1008
1604	-52	88	1011
1603	-55	90	1006
1603	-51	90	1006
1604	-53	89	1010
1603	-51	88	1002
1603	-51	86	1009
1604	-54	87	1010
1603	-52	92	1003
1603	-54	84	1004
1604	-44	91	1005
1603	-50	88	1007
1603	-53	85	1003
1604	-54	90	1003
1603	-51	90	1000
1603	-51	86	1009
1604	-54	91	1001
1603	-50	90	1004
1603	-51	93	1000
1604	-53	84	1004
1603	-54	90	1012
1603	-52	88	1003
1604	-53	88	1000
1603	-53	87	1004
1603	-56	86	1008
1603	-53	87	1007
1604	-52	90	1007
1603	-50	88	1007
1604	-50	86	1002
1603	-46	92	1009
1603	-54	91	1004
1603	-50	87	1007
1604	-52	88	1002
1603	-55	92	1000
1603	-52	85	1005
1604	-56	88	1006
1603	-55	90	1000
1603	-48	89	1004
1604	-54	86	1005
1603	-57	91	1010
1604	-53	89	1005
1603	-53	87	1002
1603	-54	89	1008
1604	-56	88	1006
1603	-51	88	1005
1603	-51	86	1012
1604	-47	86	1005
1603	-50	88	1008
1603	-54	88	1001
1604	-54	91	1008
1603	-48	90	1010
1604	-54	87	1009
1604	-51	87	1003
1603	-51	90	1004
1603	-45	91	1006
1604	-49	87	1006
1603	-51	88	1008
1603	-54	85	1006
1604	-54	88	1004
1603	-52	89	1002
1603	-53	88	1006
1604	-53	86	1011
1603	-52	88	1003
1603	-53	91	1006
1604	-51	89	1004
1603	-51	86	1002
1603	-48	87	1004
1604	-50	89	1003
1603	-56	88	1006
1603	-53	84	1005
1604	-53	90	1007
1603	-50	84	1008
1603	-52	88	1007
1604	-48	92	1014
1603	-50	90	1010
1604	-49	88	1003
1604	-54	84	1002
1603	-52	92	1009
1603	-52	88	1010
1604	-52	89	1013
1603	-50	88	1009
1603	-51	91	1007
